datum;uhrzeit_start;uhrzeit_ende;zaehlstelle;richtung_1;richtung_2;gesamt;min-temp;max-temp;niederschlag;bewoelkung;sonnenstunden
2010.06.01;00:00;23.59;Arnulf;480;17;497;;;;;
2010.06.02;00:00;23.59;Arnulf;268;9;277;;;;;
2010.06.03;00:00;23.59;Arnulf;108;7;115;;;;;
2010.06.04;00:00;23.59;Arnulf;893;31;924;;;;;
2010.06.05;00:00;23.59;Arnulf;1017;28;1045;;;;;
2010.06.06;00:00;23.59;Arnulf;795;21;816;;;;;
2010.06.07;00:00;23.59;Arnulf;946;30;976;;;;;
2010.06.08;00:00;23.59;Arnulf;1174;39;1213;;;;;
2010.06.09;00:00;23.59;Arnulf;1477;32;1509;;;;;
2010.06.10;00:00;23.59;Arnulf;1367;39;1406;;;;;
2010.06.11;00:00;23.59;Arnulf;1330;41;1371;;;;;
2010.06.12;00:00;23.59;Arnulf;827;22;849;;;;;
2010.06.13;00:00;23.59;Arnulf;452;33;485;;;;;
2010.06.14;00:00;23.59;Arnulf;641;25;666;;;;;
2010.06.15;00:00;23.59;Arnulf;720;32;752;;;;;
2010.06.16;00:00;23.59;Arnulf;480;21;501;;;;;
2010.06.17;00:00;23.59;Arnulf;576;14;590;;;;;
2010.06.18;00:00;23.59;Arnulf;552;22;574;;;;;
2010.06.19;00:00;23.59;Arnulf;227;15;242;;;;;
2010.06.20;00:00;23.59;Arnulf;147;6;153;;;;;
2010.06.21;00:00;23.59;Arnulf;591;18;609;;;;;
2010.06.22;00:00;23.59;Arnulf;880;31;911;;;;;
2010.06.23;00:00;23.59;Arnulf;1227;35;1262;;;;;
2010.06.24;00:00;23.59;Arnulf;1183;40;1223;;;;;
2010.06.25;00:00;23.59;Arnulf;1147;41;1188;;;;;
2010.06.26;00:00;23.59;Arnulf;981;47;1028;;;;;
2010.06.27;00:00;23.59;Arnulf;1063;31;1094;;;;;
2010.06.28;00:00;23.59;Arnulf;1264;40;1304;;;;;
2010.06.29;00:00;23.59;Arnulf;1420;50;1470;;;;;
2010.06.30;00:00;23.59;Arnulf;1218;38;1256;;;;;
2010.06.01;00:00;23.59;Kreuther;185;135;320;;;;;
2010.06.02;00:00;23.59;Kreuther;112;80;192;;;;;
2010.06.03;00:00;23.59;Kreuther;53;38;91;;;;;
2010.06.04;00:00;23.59;Kreuther;375;293;668;;;;;
2010.06.05;00:00;23.59;Kreuther;454;372;826;;;;;
2010.06.06;00:00;23.59;Kreuther;441;333;774;;;;;
2010.06.07;00:00;23.59;Kreuther;453;332;785;;;;;
2010.06.08;00:00;23.59;Kreuther;522;405;927;;;;;
2010.06.09;00:00;23.59;Kreuther;611;475;1086;;;;;
2010.06.10;00:00;23.59;Kreuther;601;481;1082;;;;;
2010.06.11;00:00;23.59;Kreuther;604;441;1045;;;;;
2010.06.12;00:00;23.59;Kreuther;337;262;599;;;;;
2010.06.13;00:00;23.59;Kreuther;229;191;420;;;;;
2010.06.14;00:00;23.59;Kreuther;292;220;512;;;;;
2010.06.15;00:00;23.59;Kreuther;309;239;548;;;;;
2010.06.16;00:00;23.59;Kreuther;231;163;394;;;;;
2010.06.17;00:00;23.59;Kreuther;276;205;481;;;;;
2010.06.18;00:00;23.59;Kreuther;297;238;535;;;;;
2010.06.19;00:00;23.59;Kreuther;99;71;170;;;;;
2010.06.20;00:00;23.59;Kreuther;101;70;171;;;;;
2010.06.21;00:00;23.59;Kreuther;250;198;448;;;;;
2010.06.22;00:00;23.59;Kreuther;420;325;745;;;;;
2010.06.23;00:00;23.59;Kreuther;602;426;1028;;;;;
2010.06.24;00:00;23.59;Kreuther;557;433;990;;;;;
2010.06.25;00:00;23.59;Kreuther;545;400;945;;;;;
2010.06.26;00:00;23.59;Kreuther;413;296;709;;;;;
2010.06.27;00:00;23.59;Kreuther;418;328;746;;;;;
2010.06.28;00:00;23.59;Kreuther;654;533;1187;;;;;
2010.06.29;00:00;23.59;Kreuther;693;544;1237;;;;;
2010.06.30;00:00;23.59;Kreuther;466;381;847;;;;;
2010.06.01;00:00;23.59;Olympia;435;581;1016;;;;;
2010.06.02;00:00;23.59;Olympia;233;338;571;;;;;
2010.06.03;00:00;23.59;Olympia;117;159;276;;;;;
2010.06.04;00:00;23.59;Olympia;691;846;1537;;;;;
2010.06.05;00:00;23.59;Olympia;902;1076;1978;;;;;
2010.06.06;00:00;23.59;Olympia;984;1204;2188;;;;;
2010.06.07;00:00;23.59;Olympia;795;1024;1819;;;;;
2010.06.08;00:00;23.59;Olympia;1044;1381;2425;;;;;
2010.06.09;00:00;23.59;Olympia;1185;1614;2799;;;;;
2010.06.10;00:00;23.59;Olympia;1111;1354;2465;;;;;
2010.06.11;00:00;23.59;Olympia;1027;1270;2297;;;;;
2010.06.12;00:00;23.59;Olympia;698;892;1590;;;;;
2010.06.13;00:00;23.59;Olympia;703;823;1526;;;;;
2010.06.14;00:00;23.59;Olympia;585;803;1388;;;;;
2010.06.15;00:00;23.59;Olympia;690;856;1546;;;;;
2010.06.16;00:00;23.59;Olympia;388;508;896;;;;;
2010.06.17;00:00;23.59;Olympia;493;617;1110;;;;;
2010.06.18;00:00;23.59;Olympia;469;622;1091;;;;;
2010.06.19;00:00;23.59;Olympia;272;263;535;;;;;
2010.06.20;00:00;23.59;Olympia;355;369;724;;;;;
2010.06.21;00:00;23.59;Olympia;579;737;1316;;;;;
2010.06.22;00:00;23.59;Olympia;829;1047;1876;;;;;
2010.06.23;00:00;23.59;Olympia;1361;1644;3005;;;;;
2010.06.24;00:00;23.59;Olympia;1088;1306;2394;;;;;
2010.06.25;00:00;23.59;Olympia;1331;1240;2571;;;;;
