datum;uhrzeit_start;uhrzeit_ende;zaehlstelle;richtung_1;richtung_2;gesamt;min-temp;max-temp;niederschlag;bewoelkung;sonnenstunden
2014.03.01;00:00;23.59;Arnulf;894;36;930;;;;;
2014.03.02;00:00;23.59;Arnulf;542;36;578;;;;;
2014.03.03;00:00;23.59;Arnulf;1511;65;1576;;;;;
2014.03.04;00:00;23.59;Arnulf;1213;63;1276;;;;;
2014.03.05;00:00;23.59;Arnulf;1288;70;1358;;;;;
2014.03.06;00:00;23.59;Arnulf;1512;54;1566;;;;;
2014.03.07;00:00;23.59;Arnulf;1640;93;1733;;;;;
2014.03.08;00:00;23.59;Arnulf;1614;49;1663;;;;;
2014.03.09;00:00;23.59;Arnulf;1348;50;1398;;;;;
2014.03.10;00:00;23.59;Arnulf;2234;89;2323;;;;;
2014.03.11;00:00;23.59;Arnulf;2242;102;2344;;;;;
2014.03.12;00:00;23.59;Arnulf;2201;69;2270;;;;;
2014.03.13;00:00;23.59;Arnulf;2392;77;2469;;;;;
2014.03.14;00:00;23.59;Arnulf;2344;88;2432;;;;;
2014.03.15;00:00;23.59;Arnulf;720;25;745;;;;;
2014.03.16;00:00;23.59;Arnulf;666;32;698;;;;;
2014.03.17;00:00;23.59;Arnulf;2331;102;2433;;;;;
2014.03.18;00:00;23.59;Arnulf;2516;86;2602;;;;;
2014.03.19;00:00;23.59;Arnulf;2059;113;2172;;;;;
2014.03.20;00:00;23.59;Arnulf;2841;130;2971;;;;;
2014.03.21;00:00;23.59;Arnulf;2602;117;2719;;;;;
2014.03.22;00:00;23.59;Arnulf;1186;48;1234;;;;;
2014.03.23;00:00;23.59;Arnulf;274;19;293;;;;;
2014.03.24;00:00;23.59;Arnulf;1460;72;1532;;;;;
2014.03.25;00:00;23.59;Arnulf;1488;70;1558;;;;;
2014.03.26;00:00;23.59;Arnulf;1829;97;1926;;;;;
2014.03.27;00:00;23.59;Arnulf;2354;102;2456;;;;;
2014.03.28;00:00;23.59;Arnulf;2357;109;2466;;;;;
2014.03.29;00:00;23.59;Arnulf;1964;54;2018;;;;;
2014.03.30;00:00;23.59;Arnulf;1650;67;1717;;;;;
