datum;uhrzeit_start;uhrzeit_ende;zaehlstelle;richtung_1;richtung_2;gesamt;min-temp;max-temp;niederschlag;bewoelkung;sonnenstunden
2014.05.01;00:00;23.59;Arnulf;1623;74;1697;;;;;
2014.05.02;00:00;23.59;Arnulf;1481;56;1537;;;;;
2014.05.03;00:00;23.59;Arnulf;644;33;677;;;;;
2014.05.04;00:00;23.59;Arnulf;1200;70;1270;;;;;
2014.05.05;00:00;23.59;Arnulf;2959;125;3084;;;;;
2014.05.06;00:00;23.59;Arnulf;3213;126;3339;;;;;
2014.05.07;00:00;23.59;Arnulf;1162;91;1253;;;;;
2014.05.08;00:00;23.59;Arnulf;2670;137;2807;;;;;
2014.05.09;00:00;23.59;Arnulf;1907;104;2011;;;;;
2014.05.10;00:00;23.59;Arnulf;1881;42;1923;;;;;
2014.05.11;00:00;23.59;Arnulf;927;60;987;;;;;
2014.05.12;00:00;23.59;Arnulf;2123;84;2207;;;;;
2014.05.13;00:00;23.59;Arnulf;1851;80;1931;;;;;
2014.05.14;00:00;23.59;Arnulf;1725;84;1809;;;;;
2014.05.15;00:00;23.59;Arnulf;1931;88;2019;;;;;
2014.05.16;00:00;23.59;Arnulf;2150;128;2278;;;;;
2014.05.17;00:00;23.59;Arnulf;1082;40;1122;;;;;
2014.05.18;00:00;23.59;Arnulf;1357;59;1416;;;;;
2014.05.19;00:00;23.59;Arnulf;3360;123;3483;;;;;
2014.05.20;00:00;23.59;Arnulf;4051;133;4184;;;;;
2014.05.21;00:00;23.59;Arnulf;4298;137;4435;;;;;
2014.05.22;00:00;23.59;Arnulf;4207;181;4388;;;;;
2014.05.23;00:00;23.59;Arnulf;2760;127;2887;;;;;
2014.05.24;00:00;23.59;Arnulf;2329;67;2396;;;;;
2014.05.25;00:00;23.59;Arnulf;2172;89;2261;;;;;
2014.05.26;00:00;23.59;Arnulf;2611;116;2727;;;;;
2014.05.27;00:00;23.59;Arnulf;1675;96;1771;;;;;
2014.05.28;00:00;23.59;Arnulf;2210;104;2314;;;;;
2014.05.29;00:00;23.59;Arnulf;950;66;1016;;;;;
2014.05.30;00:00;23.59;Arnulf;1772;68;1840;;;;;
2014.05.31;00:00;23.59;Arnulf;2232;59;2291;;;;;
2014.05.01;00:00;23.59;Kreuther;108;149;257;;;;;
2014.05.02;00:00;23.59;Kreuther;61;121;182;;;;;
2014.05.03;00:00;23.59;Kreuther;21;62;83;;;;;
2014.05.04;00:00;23.59;Kreuther;51;143;194;;;;;
2014.05.05;00:00;23.59;Kreuther;105;180;285;;;;;
2014.05.06;00:00;23.59;Kreuther;98;271;369;;;;;
2014.05.07;00:00;23.59;Kreuther;36;85;121;;;;;
2014.05.08;00:00;23.59;Kreuther;86;201;287;;;;;
2014.05.09;00:00;23.59;Kreuther;58;129;187;;;;;
2014.05.10;00:00;23.59;Kreuther;70;137;207;;;;;
2014.05.11;00:00;23.59;Kreuther;32;76;108;;;;;
2014.05.12;00:00;23.59;Kreuther;75;166;241;;;;;
2014.05.13;00:00;23.59;Kreuther;67;124;191;;;;;
2014.05.14;00:00;23.59;Kreuther;59;111;170;;;;;
2014.05.15;00:00;23.59;Kreuther;65;145;210;;;;;
2014.05.16;00:00;23.59;Kreuther;64;158;222;;;;;
2014.05.17;00:00;23.59;Kreuther;41;71;112;;;;;
2014.05.18;00:00;23.59;Kreuther;65;145;210;;;;;
2014.05.19;00:00;23.59;Kreuther;101;255;356;;;;;
2014.05.20;00:00;23.59;Kreuther;129;309;438;;;;;
