datum;uhrzeit_start;uhrzeit_ende;zaehlstelle;richtung_1;richtung_2;gesamt;min-temp;max-temp;niederschlag;bewoelkung;sonnenstunden
2016.04.01;00:00;23.59;Arnulf;952;69;1021;7,1;13,4;0,0;95;0,2
2016.04.02;00:00;23.59;Arnulf;729;41;770;6,5;16,8;0,0;50;5,5
2016.04.03;00:00;23.59;Arnulf;911;43;954;6,1;23,7;0,0;40;9,6
2016.04.04;00:00;23.59;Arnulf;1606;79;1685;11,8;21,7;0,0;49;9,1
2016.04.05;00:00;23.59;Arnulf;1708;86;1794;8,5;20,7;0,1;55;6,4
2016.04.06;00:00;23.59;Arnulf;1006;68;1074;8,9;14,4;1,1;68;3,4
2016.04.07;00:00;23.59;Arnulf;1089;86;1175;6,3;12,3;2,1;80;0,0
2016.04.08;00:00;23.59;Arnulf;804;51;855;4,4;8,0;0,7;94;0,0
2016.04.09;00:00;23.59;Arnulf;437;31;468;5,0;10,4;1,8;98;0,0
2016.04.10;00:00;23.59;Arnulf;620;36;656;5,4;13,8;0,0;69;2,5
2016.04.11;00:00;23.59;Arnulf;1533;79;1612;3,6;17,3;0,7;16;10,6
2016.04.12;00:00;23.59;Arnulf;1096;58;1154;6,1;17,7;5,8;53;7,3
2016.04.13;00:00;23.59;Arnulf;1239;75;1314;8,1;18,5;4,6;68;6,9
2016.04.14;00:00;23.59;Arnulf;1096;62;1158;7,4;13,7;1,1;76;3,4
2016.04.15;00:00;23.59;Arnulf;951;59;1010;6,8;13,2;1,2;90;0,0
2016.04.16;00:00;23.59;Arnulf;617;33;650;8,0;17,7;0,0;79;5,5
2016.04.17;00:00;23.59;Arnulf;196;11;207;6,5;11,7;20,3;81;0,0
2016.04.18;00:00;23.59;Arnulf;796;59;855;5,9;11,1;0,2;100;0,4
2016.04.19;00:00;23.59;Arnulf;1447;80;1527;6,0;13,4;0,0;84;4,4
2016.04.20;00:00;23.59;Arnulf;1593;68;1661;6,5;15,5;0,0;25;12,1
2016.04.21;00:00;23.59;Arnulf;1761;94;1855;3,2;19,5;0,0;4;13,1
2016.04.22;00:00;23.59;Arnulf;1504;83;1587;5,0;19,9;0,0;45;10,6
