datum;uhrzeit_start;uhrzeit_ende;zaehlstelle;richtung_1;richtung_2;gesamt
2013.07.01;00:00;00:15;Arnulf;4;0;4
2013.07.01;00:15;00:30;Arnulf;0;0;0
2013.07.01;00:30;00:45;Arnulf;3;0;3
2013.07.01;00:45;01:00;Arnulf;5;0;5
2013.07.01;01:00;01:15;Arnulf;0;0;0
2013.07.01;01:15;01:30;Arnulf;5;0;5
2013.07.01;01:30;01:45;Arnulf;0;0;0
2013.07.01;01:45;02:00;Arnulf;0;0;0
2013.07.01;02:00;02:15;Arnulf;0;0;0
2013.07.01;02:15;02:30;Arnulf;0;0;0
2013.07.01;02:30;02:45;Arnulf;4;0;4
2013.07.01;02:45;03:00;Arnulf;0;0;0
2013.07.01;03:00;03:15;Arnulf;0;0;0
2013.07.01;03:15;03:30;Arnulf;1;0;1
2013.07.01;03:30;03:45;Arnulf;4;0;4
2013.07.01;03:45;04:00;Arnulf;0;0;0
2013.07.01;04:00;04:15;Arnulf;3;0;3
2013.07.01;04:15;04:30;Arnulf;2;0;2
2013.07.01;04:30;04:45;Arnulf;2;0;2
2013.07.01;04:45;05:00;Arnulf;0;0;0
2013.07.01;05:00;05:15;Arnulf;4;0;4
2013.07.01;05:15;05:30;Arnulf;4;0;4
2013.07.01;05:30;05:45;Arnulf;6;0;6
2013.07.01;05:45;06:00;Arnulf;14;0;14
2013.07.01;06:00;06:15;Arnulf;6;0;6
2013.07.01;06:15;06:30;Arnulf;21;0;21
2013.07.01;06:30;06:45;Arnulf;22;2;24
2013.07.01;06:45;07:00;Arnulf;22;0;22
2013.07.01;07:00;07:15;Arnulf;45;4;49
2013.07.01;07:15;07:30;Arnulf;52;2;54
2013.07.01;07:30;07:45;Arnulf;72;2;74
2013.07.01;07:45;08:00;Arnulf;122;2;124
2013.07.01;08:00;08:15;Arnulf;83;2;85
2013.07.01;08:15;08:30;Arnulf;110;4;114
2013.07.01;08:30;08:45;Arnulf;96;0;96
2013.07.01;08:45;09:00;Arnulf;128;2;130
2013.07.01;09:00;09:15;Arnulf;82;2;84
2013.07.01;09:15;09:30;Arnulf;62;2;64
2013.07.01;09:30;09:45;Arnulf;62;0;62
2013.07.01;09:45;10:00;Arnulf;42;0;42
2013.07.01;10:00;10:15;Arnulf;42;0;42
2013.07.01;10:15;10:30;Arnulf;58;0;58
2013.07.01;10:30;10:45;Arnulf;34;4;38
2013.07.01;10:45;11:00;Arnulf;20;5;25
2013.07.01;11:00;11:15;Arnulf;30;4;34
2013.07.01;11:15;11:30;Arnulf;28;2;30
2013.07.01;11:30;11:45;Arnulf;38;4;42
2013.07.01;11:45;12:00;Arnulf;33;0;33
2013.07.01;12:00;12:15;Arnulf;34;0;34
2013.07.01;12:15;12:30;Arnulf;28;2;30
2013.07.01;12:30;12:45;Arnulf;51;0;51
2013.07.01;12:45;13:00;Arnulf;52;0;52
2013.07.01;13:00;13:15;Arnulf;46;0;46
2013.07.01;13:15;13:30;Arnulf;28;2;30
2013.07.01;13:30;13:45;Arnulf;66;1;67
2013.07.01;13:45;14:00;Arnulf;41;2;43
2013.07.01;14:00;14:15;Arnulf;46;0;46
2013.07.01;14:15;14:30;Arnulf;28;2;30
2013.07.01;14:30;14:45;Arnulf;40;0;40
2013.07.01;14:45;15:00;Arnulf;32;0;32
2013.07.01;15:00;15:15;Arnulf;42;4;46
2013.07.01;15:15;15:30;Arnulf;40;0;40
2013.07.01;15:30;15:45;Arnulf;65;0;65
2013.07.01;15:45;16:00;Arnulf;40;3;43
2013.07.01;16:00;16:15;Arnulf;68;8;76
2013.07.01;16:15;16:30;Arnulf;66;0;66
2013.07.01;16:30;16:45;Arnulf;52;8;60
2013.07.01;16:45;17:00;Arnulf;64;2;66
2013.07.01;17:00;17:15;Arnulf;79;0;79
2013.07.01;17:15;17:30;Arnulf;99;0;99
2013.07.01;17:30;17:45;Arnulf;96;3;99
2013.07.01;17:45;18:00;Arnulf;79;4;83
2013.07.01;18:00;18:15;Arnulf;84;2;86
2013.07.01;18:15;18:30;Arnulf;90;4;94
2013.07.01;18:30;18:45;Arnulf;86;2;88
2013.07.01;18:45;19:00;Arnulf;87;2;89
2013.07.01;19:00;19:15;Arnulf;86;0;86
2013.07.01;19:15;19:30;Arnulf;72;6;78
2013.07.01;19:30;19:45;Arnulf;40;4;44
2013.07.01;19:45;20:00;Arnulf;33;0;33
2013.07.01;20:00;20:15;Arnulf;30;2;32
2013.07.01;20:15;20:30;Arnulf;42;0;42
2013.07.01;20:30;20:45;Arnulf;24;0;24
2013.07.01;20:45;21:00;Arnulf;18;2;20
2013.07.01;21:00;21:15;Arnulf;35;0;35
2013.07.01;21:15;21:30;Arnulf;36;4;40
2013.07.01;21:30;21:45;Arnulf;32;0;32
2013.07.01;21:45;22:00;Arnulf;29;0;29
2013.07.01;22:00;22:15;Arnulf;17;2;19
2013.07.01;22:15;22:30;Arnulf;22;0;22
2013.07.01;22:30;22:45;Arnulf;16;0;16
2013.07.01;22:45;23:00;Arnulf;20;12;32
2013.07.01;23:00;23:15;Arnulf;36;0;36
2013.07.01;23:15;23:30;Arnulf;16;0;16
2013.07.01;23:30;23:45;Arnulf;17;2;19
2013.07.01;23:45;00:00;Arnulf;12;0;12
2013.07.02;00:00;00:15;Arnulf;8;0;8
2013.07.02;00:15;00:30;Arnulf;7;0;7
2013.07.02;00:30;00:45;Arnulf;12;0;12
2013.07.02;00:45;01:00;Arnulf;8;0;8
2013.07.02;01:00;01:15;Arnulf;2;4;6
2013.07.02;01:15;01:30;Arnulf;0;0;0
2013.07.02;01:30;01:45;Arnulf;4;0;4
2013.07.02;01:45;02:00;Arnulf;2;0;2
2013.07.02;02:00;02:15;Arnulf;0;0;0
2013.07.02;02:15;02:30;Arnulf;0;0;0
2013.07.02;02:30;02:45;Arnulf;0;0;0
2013.07.02;02:45;03:00;Arnulf;2;0;2
2013.07.02;03:00;03:15;Arnulf;0;0;0
2013.07.02;03:15;03:30;Arnulf;0;0;0
2013.07.02;03:30;03:45;Arnulf;4;0;4
2013.07.02;03:45;04:00;Arnulf;0;0;0
2013.07.02;04:00;04:15;Arnulf;0;0;0
2013.07.02;04:15;04:30;Arnulf;4;0;4
2013.07.02;04:30;04:45;Arnulf;0;0;0
2013.07.02;04:45;05:00;Arnulf;0;0;0
2013.07.02;05:00;05:15;Arnulf;2;0;2
2013.07.02;05:15;05:30;Arnulf;8;0;8
2013.07.02;05:30;05:45;Arnulf;8;2;10
2013.07.02;05:45;06:00;Arnulf;16;0;16
