datum;uhrzeit_start;uhrzeit_ende;zaehlstelle;richtung_1;richtung_2;gesamt;min-temp;max-temp;niederschlag;bewoelkung;sonnenstunden
2013.10.01;00:00;23.59;Arnulf;2063;90;2153;;;;;
2013.10.02;00:00;23.59;Arnulf;2512;116;2628;;;;;
2013.10.03;00:00;23.59;Arnulf;1200;96;1296;;;;;
2013.10.04;00:00;23.59;Arnulf;1692;111;1803;;;;;
2013.10.05;00:00;23.59;Arnulf;520;38;558;;;;;
2013.10.06;00:00;23.59;Arnulf;809;79;888;;;;;
2013.10.07;00:00;23.59;Arnulf;2023;68;2091;;;;;
2013.10.08;00:00;23.59;Arnulf;2146;71;2217;;;;;
2013.10.09;00:00;23.59;Arnulf;2038;53;2091;;;;;
2013.10.10;00:00;23.59;Arnulf;1305;48;1353;;;;;
2013.10.11;00:00;23.59;Arnulf;1063;51;1114;;;;;
2013.10.12;00:00;23.59;Arnulf;899;43;942;;;;;
2013.10.13;00:00;23.59;Arnulf;988;79;1067;;;;;
2013.10.14;00:00;23.59;Arnulf;2228;95;2323;;;;;
2013.10.15;00:00;23.59;Arnulf;1759;77;1836;;;;;
2013.10.16;00:00;23.59;Arnulf;1457;44;1501;;;;;
2013.10.17;00:00;23.59;Arnulf;1931;84;2015;;;;;
2013.10.18;00:00;23.59;Arnulf;2120;99;2219;;;;;
2013.10.19;00:00;23.59;Arnulf;1741;36;1777;;;;;
2013.10.20;00:00;23.59;Arnulf;1211;53;1264;;;;;
2013.10.21;00:00;23.59;Arnulf;2355;81;2436;;;;;
2013.10.22;00:00;23.59;Arnulf;2759;84;2843;;;;;
2013.10.23;00:00;23.59;Arnulf;1914;77;1991;;;;;
2013.10.24;00:00;23.59;Arnulf;2497;92;2589;;;;;
2013.10.25;00:00;23.59;Arnulf;2468;104;2572;;;;;
2013.10.26;00:00;23.59;Arnulf;1835;80;1915;;;;;
2013.10.27;00:00;23.59;Arnulf;988;54;1042;;;;;
2013.10.28;00:00;23.59;Arnulf;2400;127;2527;;;;;
2013.10.29;00:00;23.59;Arnulf;1226;52;1278;;;;;
2013.10.30;00:00;23.59;Arnulf;1693;50;1743;;;;;
2013.10.31;00:00;23.59;Arnulf;1685;74;1759;;;;;
2013.10.01;00:00;23.59;Kreuther;0;0;0;;;;;
2013.10.02;00:00;23.59;Kreuther;0;0;0;;;;;
2013.10.03;00:00;23.59;Kreuther;0;0;0;;;;;
2013.10.04;00:00;23.59;Kreuther;0;0;0;;;;;
2013.10.05;00:00;23.59;Kreuther;0;0;0;;;;;
2013.10.06;00:00;23.59;Kreuther;0;0;0;;;;;
2013.10.07;00:00;23.59;Kreuther;0;0;0;;;;;
2013.10.08;00:00;23.59;Kreuther;0;0;0;;;;;
2013.10.09;00:00;23.59;Kreuther;0;0;0;;;;;
2013.10.10;00:00;23.59;Kreuther;0;0;0;;;;;
2013.10.11;00:00;23.59;Kreuther;0;0;0;;;;;
2013.10.12;00:00;23.59;Kreuther;0;0;0;;;;;
2013.10.13;00:00;23.59;Kreuther;0;0;0;;;;;
2013.10.14;00:00;23.59;Kreuther;0;0;0;;;;;
