datum;uhrzeit_start;uhrzeit_ende;zaehlstelle;richtung_1;richtung_2;gesamt;min-temp;max-temp;niederschlag;bewoelkung;sonnenstunden
2011.06.01;00:00;23.59;Arnulf;419;21;440;;;;;
2011.06.02;00:00;23.59;Arnulf;455;23;478;;;;;
2011.06.03;00:00;23.59;Arnulf;917;24;941;;;;;
2011.06.04;00:00;23.59;Arnulf;761;36;797;;;;;
2011.06.05;00:00;23.59;Arnulf;675;31;706;;;;;
2011.06.06;00:00;23.59;Arnulf;831;27;858;;;;;
2011.06.07;00:00;23.59;Arnulf;1149;49;1198;;;;;
2011.06.08;00:00;23.59;Arnulf;672;21;693;;;;;
2011.06.09;00:00;23.59;Arnulf;791;30;821;;;;;
2011.06.10;00:00;23.59;Arnulf;822;37;859;;;;;
2011.06.11;00:00;23.59;Arnulf;526;27;553;;;;;
2011.06.12;00:00;23.59;Arnulf;669;31;700;;;;;
2011.06.13;00:00;23.59;Arnulf;394;28;422;;;;;
2011.06.14;00:00;23.59;Arnulf;831;24;855;;;;;
2011.06.15;00:00;23.59;Arnulf;1101;33;1134;;;;;
2011.06.16;00:00;23.59;Arnulf;930;50;980;;;;;
2011.06.17;00:00;23.59;Arnulf;912;24;936;;;;;
2011.06.18;00:00;23.59;Arnulf;164;10;174;;;;;
2011.06.19;00:00;23.59;Arnulf;263;22;285;;;;;
2011.06.20;00:00;23.59;Arnulf;714;32;746;;;;;
2011.06.21;00:00;23.59;Arnulf;1064;52;1116;;;;;
2011.06.22;00:00;23.59;Arnulf;857;34;891;;;;;
2011.06.23;00:00;23.59;Arnulf;198;10;208;;;;;
2011.06.24;00:00;23.59;Arnulf;745;33;778;;;;;
2011.06.25;00:00;23.59;Arnulf;554;21;575;;;;;
2011.06.26;00:00;23.59;Arnulf;616;26;642;;;;;
2011.06.27;00:00;23.59;Arnulf;1314;44;1358;;;;;
2011.06.28;00:00;23.59;Arnulf;1492;57;1549;;;;;
2011.06.29;00:00;23.59;Arnulf;1152;33;1185;;;;;
2011.06.30;00:00;23.59;Arnulf;482;19;501;;;;;
2011.06.01;00:00;23.59;Kreuther;160;130;290;;;;;
2011.06.02;00:00;23.59;Kreuther;169;108;277;;;;;
2011.06.03;00:00;23.59;Kreuther;352;272;624;;;;;
2011.06.04;00:00;23.59;Kreuther;335;262;597;;;;;
2011.06.05;00:00;23.59;Kreuther;357;321;678;;;;;
2011.06.06;00:00;23.59;Kreuther;355;249;604;;;;;
2011.06.07;00:00;23.59;Kreuther;523;391;914;;;;;
2011.06.08;00:00;23.59;Kreuther;307;208;515;;;;;
2011.06.09;00:00;23.59;Kreuther;357;257;614;;;;;
2011.06.10;00:00;23.59;Kreuther;398;269;667;;;;;
2011.06.11;00:00;23.59;Kreuther;175;115;290;;;;;
2011.06.12;00:00;23.59;Kreuther;324;288;612;;;;;
2011.06.13;00:00;23.59;Kreuther;166;141;307;;;;;
2011.06.14;00:00;23.59;Kreuther;408;288;696;;;;;
2011.06.15;00:00;23.59;Kreuther;494;380;874;;;;;
2011.06.16;00:00;23.59;Kreuther;419;310;729;;;;;
2011.06.17;00:00;23.59;Kreuther;358;289;647;;;;;
2011.06.18;00:00;23.59;Kreuther;64;49;113;;;;;
2011.06.19;00:00;23.59;Kreuther;84;70;154;;;;;
2011.06.20;00:00;23.59;Kreuther;271;203;474;;;;;
2011.06.21;00:00;23.59;Kreuther;449;353;802;;;;;
2011.06.22;00:00;23.59;Kreuther;338;264;602;;;;;
2011.06.23;00:00;23.59;Kreuther;84;53;137;;;;;
2011.06.24;00:00;23.59;Kreuther;301;221;522;;;;;
2011.06.25;00:00;23.59;Kreuther;249;193;442;;;;;
2011.06.26;00:00;23.59;Kreuther;291;209;500;;;;;
