datum;uhrzeit_start;uhrzeit_ende;zaehlstelle;richtung_1;richtung_2;gesamt;min-temp;max-temp;niederschlag;bewoelkung;sonnenstunden
2011.11.01;00:00;23.59;Arnulf;251;14;265;;;;;
2011.11.02;00:00;23.59;Arnulf;607;9;616;;;;;
2011.11.03;00:00;23.59;Arnulf;649;29;678;;;;;
2011.11.04;00:00;23.59;Arnulf;643;20;663;;;;;
2011.11.05;00:00;23.59;Arnulf;398;14;412;;;;;
2011.11.06;00:00;23.59;Arnulf;274;18;292;;;;;
2011.11.07;00:00;23.59;Arnulf;668;20;688;;;;;
2011.11.08;00:00;23.59;Arnulf;723;19;742;;;;;
2011.11.09;00:00;23.59;Arnulf;609;19;628;;;;;
2011.11.10;00:00;23.59;Arnulf;616;23;639;;;;;
2011.11.11;00:00;23.59;Arnulf;545;10;555;;;;;
2011.11.12;00:00;23.59;Arnulf;354;8;362;;;;;
2011.11.13;00:00;23.59;Arnulf;241;14;255;;;;;
2011.11.14;00:00;23.59;Arnulf;588;27;615;;;;;
2011.11.15;00:00;23.59;Arnulf;571;21;592;;;;;
2011.11.16;00:00;23.59;Arnulf;560;26;586;;;;;
2011.11.17;00:00;23.59;Arnulf;628;19;647;;;;;
2011.11.18;00:00;23.59;Arnulf;627;22;649;;;;;
2011.11.19;00:00;23.59;Arnulf;352;18;370;;;;;
2011.11.20;00:00;23.59;Arnulf;203;14;217;;;;;
2011.11.21;00:00;23.59;Arnulf;658;23;681;;;;;
2011.11.22;00:00;23.59;Arnulf;639;28;667;;;;;
2011.11.23;00:00;23.59;Arnulf;543;16;559;;;;;
2011.11.24;00:00;23.59;Arnulf;542;22;564;;;;;
2011.11.25;00:00;23.59;Arnulf;522;21;543;;;;;
2011.11.26;00:00;23.59;Arnulf;239;13;252;;;;;
2011.11.27;00:00;23.59;Arnulf;259;14;273;;;;;
2011.11.28;00:00;23.59;Arnulf;599;22;621;;;;;
2011.11.29;00:00;23.59;Arnulf;654;22;676;;;;;
2011.11.30;00:00;23.59;Arnulf;518;13;531;;;;;
2011.11.01;00:00;23.59;Kreuther;147;90;237;;;;;
2011.11.02;00:00;23.59;Kreuther;237;156;393;;;;;
2011.11.03;00:00;23.59;Kreuther;268;193;461;;;;;
2011.11.04;00:00;23.59;Kreuther;246;182;428;;;;;
2011.11.05;00:00;23.59;Kreuther;179;135;314;;;;;
2011.11.06;00:00;23.59;Kreuther;152;111;263;;;;;
2011.11.07;00:00;23.59;Kreuther;288;219;507;;;;;
2011.11.08;00:00;23.59;Kreuther;301;213;514;;;;;
2011.11.09;00:00;23.59;Kreuther;290;206;496;;;;;
2011.11.10;00:00;23.59;Kreuther;247;155;402;;;;;
2011.11.11;00:00;23.59;Kreuther;180;121;301;;;;;
