datum;uhrzeit_start;uhrzeit_ende;zaehlstelle;richtung_1;richtung_2;gesamt;min-temp;max-temp;niederschlag;bewoelkung;sonnenstunden
2011.07.01;00:00;23.59;Arnulf;778;38;816;;;;;
2011.07.02;00:00;23.59;Arnulf;309;10;319;;;;;
2011.07.03;00:00;23.59;Arnulf;286;20;306;;;;;
2011.07.04;00:00;23.59;Arnulf;1253;54;1307;;;;;
2011.07.05;00:00;23.59;Arnulf;1294;49;1343;;;;;
2011.07.06;00:00;23.59;Arnulf;1434;47;1481;;;;;
2011.07.07;00:00;23.59;Arnulf;1309;62;1371;;;;;
2011.07.08;00:00;23.59;Arnulf;905;39;944;;;;;
2011.07.09;00:00;23.59;Arnulf;773;36;809;;;;;
2011.07.10;00:00;23.59;Arnulf;484;25;509;;;;;
2011.07.11;00:00;23.59;Arnulf;1095;41;1136;;;;;
2011.07.12;00:00;23.59;Arnulf;1412;41;1453;;;;;
2011.07.13;00:00;23.59;Arnulf;610;29;639;;;;;
2011.07.14;00:00;23.59;Arnulf;775;30;805;;;;;
2011.07.15;00:00;23.59;Arnulf;935;42;977;;;;;
2011.07.16;00:00;23.59;Arnulf;868;33;901;;;;;
2011.07.17;00:00;23.59;Arnulf;442;34;476;;;;;
2011.07.18;00:00;23.59;Arnulf;685;29;714;;;;;
2011.07.19;00:00;23.59;Arnulf;1117;45;1162;;;;;
2011.07.20;00:00;23.59;Arnulf;309;18;327;;;;;
2011.07.21;00:00;23.59;Arnulf;882;30;912;;;;;
2011.07.22;00:00;23.59;Arnulf;627;27;654;;;;;
2011.07.23;00:00;23.59;Arnulf;304;10;314;;;;;
2011.07.24;00:00;23.59;Arnulf;313;14;327;;;;;
2011.07.25;00:00;23.59;Arnulf;937;34;971;;;;;
2011.07.26;00:00;23.59;Arnulf;1340;42;1382;;;;;
2011.07.27;00:00;23.59;Arnulf;1256;43;1299;;;;;
2011.07.28;00:00;23.59;Arnulf;862;43;905;;;;;
2011.07.29;00:00;23.59;Arnulf;852;45;897;;;;;
2011.07.30;00:00;23.59;Arnulf;557;27;584;;;;;
2011.07.31;00:00;23.59;Arnulf;578;41;619;;;;;
2011.07.01;00:00;23.59;Kreuther;349;216;565;;;;;
2011.07.02;00:00;23.59;Kreuther;212;160;372;;;;;
2011.07.03;00:00;23.59;Kreuther;151;132;283;;;;;
2011.07.04;00:00;23.59;Kreuther;568;408;976;;;;;
2011.07.05;00:00;23.59;Kreuther;578;465;1043;;;;;
2011.07.06;00:00;23.59;Kreuther;624;405;1029;;;;;
2011.07.07;00:00;23.59;Kreuther;579;405;984;;;;;
2011.07.08;00:00;23.59;Kreuther;345;281;626;;;;;
2011.07.09;00:00;23.59;Kreuther;342;243;585;;;;;
2011.07.10;00:00;23.59;Kreuther;304;213;517;;;;;
2011.07.11;00:00;23.59;Kreuther;515;382;897;;;;;
2011.07.12;00:00;23.59;Kreuther;652;458;1110;;;;;
