datum;uhrzeit_start;uhrzeit_ende;zaehlstelle;richtung_1;richtung_2;gesamt;min-temp;max-temp;niederschlag;bewoelkung;sonnenstunden
2011.08.01;00:00;23.59;Arnulf;1123;63;1186;;;;;
2011.08.02;00:00;23.59;Arnulf;1451;63;1514;;;;;
2011.08.03;00:00;23.59;Arnulf;997;32;1029;;;;;
2011.08.04;00:00;23.59;Arnulf;858;48;906;;;;;
2011.08.05;00:00;23.59;Arnulf;812;37;849;;;;;
2011.08.06;00:00;23.59;Arnulf;888;22;910;;;;;
2011.08.07;00:00;23.59;Arnulf;208;14;222;;;;;
2011.08.08;00:00;23.59;Arnulf;692;29;721;;;;;
2011.08.09;00:00;23.59;Arnulf;732;30;762;;;;;
2011.08.10;00:00;23.59;Arnulf;896;41;937;;;;;
2011.08.11;00:00;23.59;Arnulf;1136;43;1179;;;;;
2011.08.12;00:00;23.59;Arnulf;990;52;1042;;;;;
2011.08.13;00:00;23.59;Arnulf;697;22;719;;;;;
2011.08.14;00:00;23.59;Arnulf;523;25;548;;;;;
2011.08.15;00:00;23.59;Arnulf;290;16;306;;;;;
2011.08.16;00:00;23.59;Arnulf;1019;30;1049;;;;;
2011.08.17;00:00;23.59;Arnulf;1055;45;1100;;;;;
2011.08.18;00:00;23.59;Arnulf;1098;48;1146;;;;;
2011.08.19;00:00;23.59;Arnulf;662;30;692;;;;;
2011.08.20;00:00;23.59;Arnulf;811;20;831;;;;;
2011.08.21;00:00;23.59;Arnulf;595;24;619;;;;;
2011.08.22;00:00;23.59;Arnulf;1006;36;1042;;;;;
2011.08.23;00:00;23.59;Arnulf;1106;33;1139;;;;;
2011.08.24;00:00;23.59;Arnulf;902;31;933;;;;;
2011.08.25;00:00;23.59;Arnulf;1122;56;1178;;;;;
2011.08.26;00:00;23.59;Arnulf;1003;36;1039;;;;;
2011.08.27;00:00;23.59;Arnulf;274;7;281;;;;;
2011.08.28;00:00;23.59;Arnulf;621;25;646;;;;;
2011.08.29;00:00;23.59;Arnulf;940;39;979;;;;;
2011.08.30;00:00;23.59;Arnulf;1015;35;1050;;;;;
2011.08.31;00:00;23.59;Arnulf;1052;43;1095;;;;;
2011.08.01;00:00;23.59;Kreuther;447;356;803;;;;;
2011.08.02;00:00;23.59;Kreuther;599;457;1056;;;;;
2011.08.03;00:00;23.59;Kreuther;450;292;742;;;;;
2011.08.04;00:00;23.59;Kreuther;289;248;537;;;;;
2011.08.05;00:00;23.59;Kreuther;342;235;577;;;;;
2011.08.06;00:00;23.59;Kreuther;378;324;702;;;;;
2011.08.07;00:00;23.59;Kreuther;74;58;132;;;;;
2011.08.08;00:00;23.59;Kreuther;227;176;403;;;;;
2011.08.09;00:00;23.59;Kreuther;302;213;515;;;;;
2011.08.10;00:00;23.59;Kreuther;387;289;676;;;;;
2011.08.11;00:00;23.59;Kreuther;442;315;757;;;;;
2011.08.12;00:00;23.59;Kreuther;452;337;789;;;;;
2011.08.13;00:00;23.59;Kreuther;286;234;520;;;;;
2011.08.14;00:00;23.59;Kreuther;327;268;595;;;;;
2011.08.15;00:00;23.59;Kreuther;130;111;241;;;;;
2011.08.16;00:00;23.59;Kreuther;425;311;736;;;;;
2011.08.17;00:00;23.59;Kreuther;452;360;812;;;;;
2011.08.18;00:00;23.59;Kreuther;486;373;859;;;;;
2011.08.19;00:00;23.59;Kreuther;289;224;513;;;;;
2011.08.20;00:00;23.59;Kreuther;322;252;574;;;;;
2011.08.21;00:00;23.59;Kreuther;327;222;549;;;;;
2011.08.22;00:00;23.59;Kreuther;488;357;845;;;;;
2011.08.23;00:00;23.59;Kreuther;468;365;833;;;;;
2011.08.24;00:00;23.59;Kreuther;462;321;783;;;;;
2011.08.25;00:00;23.59;Kreuther;440;307;747;;;;;
2011.08.26;00:00;23.59;Kreuther;404;308;712;;;;;
2011.08.27;00:00;23.59;Kreuther;96;70;166;;;;;
2011.08.28;00:00;23.59;Kreuther;340;256;596;;;;;
2011.08.29;00:00;23.59;Kreuther;444;297;741;;;;;
2011.08.30;00:00;23.59;Kreuther;401;328;729;;;;;
2011.08.31;00:00;23.59;Kreuther;457;331;788;;;;;
2011.08.01;00:00;23.59;Olympia;1186;1239;2425;;;;;
2011.08.02;00:00;23.59;Olympia;1614;1621;3235;;;;;
2011.08.03;00:00;23.59;Olympia;941;959;1900;;;;;
2011.08.04;00:00;23.59;Olympia;1776;1568;3344;;;;;
2011.08.05;00:00;23.59;Olympia;1009;1093;2102;;;;;
2011.08.06;00:00;23.59;Olympia;1403;1502;2905;;;;;
2011.08.07;00:00;23.59;Olympia;516;531;1047;;;;;
2011.08.08;00:00;23.59;Olympia;1089;1106;2195;;;;;
2011.08.09;00:00;23.59;Olympia;1047;1080;2127;;;;;
2011.08.10;00:00;23.59;Olympia;1531;1486;3017;;;;;
2011.08.11;00:00;23.59;Olympia;2674;2244;4918;;;;;
