datum;uhrzeit_start;uhrzeit_ende;zaehlstelle;richtung_1;richtung_2;gesamt;min-temp;max-temp;niederschlag;bewoelkung;sonnenstunden
2011.12.01;00:00;23.59;Arnulf;186;16;202;;;;;
2011.12.02;00:00;23.59;Arnulf;515;29;544;;;;;
2011.12.03;00:00;23.59;Arnulf;257;9;266;;;;;
2011.12.04;00:00;23.59;Arnulf;160;15;175;;;;;
2011.12.05;00:00;23.59;Arnulf;373;13;386;;;;;
2011.12.06;00:00;23.59;Arnulf;398;18;416;;;;;
2011.12.07;00:00;23.59;Arnulf;316;16;332;;;;;
2011.12.08;00:00;23.59;Arnulf;507;17;524;;;;;
2011.12.09;00:00;23.59;Arnulf;446;9;455;;;;;
2011.12.10;00:00;23.59;Arnulf;129;5;134;;;;;
2011.12.11;00:00;23.59;Arnulf;151;10;161;;;;;
2011.12.12;00:00;23.59;Arnulf;449;19;468;;;;;
2011.12.13;00:00;23.59;Arnulf;567;20;587;;;;;
2011.12.14;00:00;23.59;Arnulf;527;20;547;;;;;
2011.12.15;00:00;23.59;Arnulf;554;24;578;;;;;
2011.12.16;00:00;23.59;Arnulf;331;23;354;;;;;
2011.12.17;00:00;23.59;Arnulf;238;7;245;;;;;
2011.12.18;00:00;23.59;Arnulf;142;8;150;;;;;
2011.12.19;00:00;23.59;Arnulf;291;12;303;;;;;
2011.12.20;00:00;23.59;Arnulf;253;7;260;;;;;
2011.12.21;00:00;23.59;Arnulf;188;9;197;;;;;
2011.12.22;00:00;23.59;Arnulf;309;12;321;;;;;
2011.12.23;00:00;23.59;Arnulf;302;26;328;;;;;
2011.12.24;00:00;23.59;Arnulf;83;5;88;;;;;
2011.12.25;00:00;23.59;Arnulf;55;3;58;;;;;
2011.12.26;00:00;23.59;Arnulf;102;13;115;;;;;
2011.12.27;00:00;23.59;Arnulf;335;14;349;;;;;
2011.12.28;00:00;23.59;Arnulf;371;19;390;;;;;
2011.12.29;00:00;23.59;Arnulf;309;12;321;;;;;
2011.12.30;00:00;23.59;Arnulf;233;17;250;;;;;
2011.12.31;00:00;23.59;Arnulf;96;3;99;;;;;
2011.12.01;00:00;23.59;Kreuther;224;175;399;;;;;
2011.12.02;00:00;23.59;Kreuther;196;149;345;;;;;
2011.12.03;00:00;23.59;Kreuther;92;89;181;;;;;
2011.12.04;00:00;23.59;Kreuther;62;60;122;;;;;
2011.12.05;00:00;23.59;Kreuther;139;92;231;;;;;
2011.12.06;00:00;23.59;Kreuther;133;82;215;;;;;
2011.12.07;00:00;23.59;Kreuther;103;74;177;;;;;
2011.12.08;00:00;23.59;Kreuther;127;96;223;;;;;
2011.12.09;00:00;23.59;Kreuther;162;124;286;;;;;
2011.12.10;00:00;23.59;Kreuther;25;17;42;;;;;
2011.12.11;00:00;23.59;Kreuther;38;25;63;;;;;
2011.12.12;00:00;23.59;Kreuther;119;110;229;;;;;
2011.12.13;00:00;23.59;Kreuther;102;86;188;;;;;
2011.12.14;00:00;23.59;Kreuther;169;102;271;;;;;
2011.12.15;00:00;23.59;Kreuther;140;107;247;;;;;
2011.12.16;00:00;23.59;Kreuther;102;84;186;;;;;
2011.12.17;00:00;23.59;Kreuther;42;42;84;;;;;
2011.12.18;00:00;23.59;Kreuther;15;12;27;;;;;
2011.12.19;00:00;23.59;Kreuther;9;9;18;;;;;
2011.12.20;00:00;23.59;Kreuther;10;10;20;;;;;
2011.12.21;00:00;23.59;Kreuther;37;29;66;;;;;
2011.12.22;00:00;23.59;Kreuther;41;43;84;;;;;
2011.12.23;00:00;23.59;Kreuther;65;53;118;;;;;
2011.12.24;00:00;23.59;Kreuther;25;24;49;;;;;
2011.12.25;00:00;23.59;Kreuther;9;7;16;;;;;
2011.12.26;00:00;23.59;Kreuther;34;26;60;;;;;
2011.12.27;00:00;23.59;Kreuther;37;24;61;;;;;
2011.12.28;00:00;23.59;Kreuther;56;40;96;;;;;
2011.12.29;00:00;23.59;Kreuther;48;33;81;;;;;
2011.12.30;00:00;23.59;Kreuther;45;35;80;;;;;
2011.12.31;00:00;23.59;Kreuther;7;3;10;;;;;
2011.12.01;00:00;23.59;Olympia;720;727;1447;;;;;
2011.12.02;00:00;23.59;Olympia;613;642;1255;;;;;
2011.12.03;00:00;23.59;Olympia;341;323;664;;;;;
2011.12.04;00:00;23.59;Olympia;446;420;866;;;;;
2011.12.05;00:00;23.59;Olympia;535;539;1074;;;;;
2011.12.06;00:00;23.59;Olympia;455;450;905;;;;;
2011.12.07;00:00;23.59;Olympia;384;407;791;;;;;
2011.12.08;00:00;23.59;Olympia;555;550;1105;;;;;
2011.12.09;00:00;23.59;Olympia;432;424;856;;;;;
2011.12.10;00:00;23.59;Olympia;147;145;292;;;;;
2011.12.11;00:00;23.59;Olympia;220;211;431;;;;;
2011.12.12;00:00;23.59;Olympia;461;493;954;;;;;
2011.12.13;00:00;23.59;Olympia;522;523;1045;;;;;
2011.12.14;00:00;23.59;Olympia;500;507;1007;;;;;
2011.12.15;00:00;23.59;Olympia;537;545;1082;;;;;
2011.12.16;00:00;23.59;Olympia;307;308;615;;;;;
