datum;uhrzeit_start;uhrzeit_ende;zaehlstelle;richtung_1;richtung_2;gesamt;min-temp;max-temp;niederschlag;bewoelkung;sonnenstunden
2011.10.01;00:00;23.59;Arnulf;709;24;733;;;;;
2011.10.02;00:00;23.59;Arnulf;536;30;566;;;;;
2011.10.03;00:00;23.59;Arnulf;551;16;567;;;;;
2011.10.04;00:00;23.59;Arnulf;955;52;1007;;;;;
2011.10.05;00:00;23.59;Arnulf;920;41;961;;;;;
2011.10.06;00:00;23.59;Arnulf;886;31;917;;;;;
2011.10.07;00:00;23.59;Arnulf;435;12;447;;;;;
2011.10.08;00:00;23.59;Arnulf;166;4;170;;;;;
2011.10.09;00:00;23.59;Arnulf;203;12;215;;;;;
2011.10.10;00:00;23.59;Arnulf;396;20;416;;;;;
2011.10.11;00:00;23.59;Arnulf;743;34;777;;;;;
2011.10.12;00:00;23.59;Arnulf;681;35;716;;;;;
2011.10.13;00:00;23.59;Arnulf;506;14;520;;;;;
2011.10.14;00:00;23.59;Arnulf;736;26;762;;;;;
2011.10.15;00:00;23.59;Arnulf;462;17;479;;;;;
2011.10.16;00:00;23.59;Arnulf;346;12;358;;;;;
2011.10.17;00:00;23.59;Arnulf;704;49;753;;;;;
2011.10.18;00:00;23.59;Arnulf;836;26;862;;;;;
2011.10.19;00:00;23.59;Arnulf;571;22;593;;;;;
2011.10.20;00:00;23.59;Arnulf;551;29;580;;;;;
2011.10.21;00:00;23.59;Arnulf;703;35;738;;;;;
2011.10.22;00:00;23.59;Arnulf;371;6;377;;;;;
2011.10.23;00:00;23.59;Arnulf;313;15;328;;;;;
2011.10.24;00:00;23.59;Arnulf;712;31;743;;;;;
2011.10.25;00:00;23.59;Arnulf;752;32;784;;;;;
2011.10.26;00:00;23.59;Arnulf;507;29;536;;;;;
2011.10.27;00:00;23.59;Arnulf;652;19;671;;;;;
2011.10.28;00:00;23.59;Arnulf;731;35;766;;;;;
2011.10.29;00:00;23.59;Arnulf;446;11;457;;;;;
2011.10.30;00:00;23.59;Arnulf;302;10;312;;;;;
2011.10.31;00:00;23.59;Arnulf;542;15;557;;;;;
2011.10.01;00:00;23.59;Kreuther;332;236;568;;;;;
2011.10.02;00:00;23.59;Kreuther;309;234;543;;;;;
2011.10.03;00:00;23.59;Kreuther;323;266;589;;;;;
2011.10.04;00:00;23.59;Kreuther;496;360;856;;;;;
2011.10.05;00:00;23.59;Kreuther;474;329;803;;;;;
2011.10.06;00:00;23.59;Kreuther;473;345;818;;;;;
2011.10.07;00:00;23.59;Kreuther;184;118;302;;;;;
2011.10.08;00:00;23.59;Kreuther;72;55;127;;;;;
2011.10.09;00:00;23.59;Kreuther;96;85;181;;;;;
2011.10.10;00:00;23.59;Kreuther;168;123;291;;;;;
2011.10.11;00:00;23.59;Kreuther;402;287;689;;;;;
2011.10.12;00:00;23.59;Kreuther;318;237;555;;;;;
2011.10.13;00:00;23.59;Kreuther;206;143;349;;;;;
2011.10.14;00:00;23.59;Kreuther;278;208;486;;;;;
2011.10.15;00:00;23.59;Kreuther;174;137;311;;;;;
2011.10.16;00:00;23.59;Kreuther;179;133;312;;;;;
2011.10.17;00:00;23.59;Kreuther;271;216;487;;;;;
2011.10.18;00:00;23.59;Kreuther;351;295;646;;;;;
2011.10.19;00:00;23.59;Kreuther;240;174;414;;;;;
2011.10.20;00:00;23.59;Kreuther;240;173;413;;;;;
2011.10.21;00:00;23.59;Kreuther;234;179;413;;;;;
2011.10.22;00:00;23.59;Kreuther;122;93;215;;;;;
2011.10.23;00:00;23.59;Kreuther;149;113;262;;;;;
2011.10.24;00:00;23.59;Kreuther;282;204;486;;;;;
2011.10.25;00:00;23.59;Kreuther;284;216;500;;;;;
2011.10.26;00:00;23.59;Kreuther;221;143;364;;;;;
2011.10.27;00:00;23.59;Kreuther;300;194;494;;;;;
2011.10.28;00:00;23.59;Kreuther;297;219;516;;;;;
2011.10.29;00:00;23.59;Kreuther;166;139;305;;;;;
2011.10.30;00:00;23.59;Kreuther;166;122;288;;;;;
2011.10.31;00:00;23.59;Kreuther;208;139;347;;;;;
2011.10.01;00:00;23.59;Olympia;774;834;1608;;;;;
2011.10.02;00:00;23.59;Olympia;911;864;1775;;;;;
2011.10.03;00:00;23.59;Olympia;962;930;1892;;;;;
2011.10.04;00:00;23.59;Olympia;874;960;1834;;;;;
2011.10.05;00:00;23.59;Olympia;869;896;1765;;;;;
2011.10.06;00:00;23.59;Olympia;908;893;1801;;;;;
2011.10.07;00:00;23.59;Olympia;418;415;833;;;;;
2011.10.08;00:00;23.59;Olympia;246;232;478;;;;;
2011.10.09;00:00;23.59;Olympia;1145;936;2081;;;;;
2011.10.10;00:00;23.59;Olympia;360;366;726;;;;;
2011.10.11;00:00;23.59;Olympia;861;895;1756;;;;;
2011.10.12;00:00;23.59;Olympia;627;631;1258;;;;;
2011.10.13;00:00;23.59;Olympia;450;510;960;;;;;
2011.10.14;00:00;23.59;Olympia;678;689;1367;;;;;
2011.10.15;00:00;23.59;Olympia;472;460;932;;;;;
2011.10.16;00:00;23.59;Olympia;564;556;1120;;;;;
2011.10.17;00:00;23.59;Olympia;674;725;1399;;;;;
2011.10.18;00:00;23.59;Olympia;958;976;1934;;;;;
2011.10.19;00:00;23.59;Olympia;612;628;1240;;;;;
2011.10.20;00:00;23.59;Olympia;658;689;1347;;;;;
2011.10.21;00:00;23.59;Olympia;645;656;1301;;;;;
2011.10.22;00:00;23.59;Olympia;483;449;932;;;;;
2011.10.23;00:00;23.59;Olympia;525;541;1066;;;;;
2011.10.24;00:00;23.59;Olympia;818;830;1648;;;;;
2011.10.25;00:00;23.59;Olympia;843;820;1663;;;;;
2011.10.26;00:00;23.59;Olympia;682;750;1432;;;;;
2011.10.27;00:00;23.59;Olympia;717;772;1489;;;;;
2011.10.28;00:00;23.59;Olympia;769;808;1577;;;;;
2011.10.29;00:00;23.59;Olympia;572;570;1142;;;;;
2011.10.30;00:00;23.59;Olympia;495;494;989;;;;;
2011.10.31;00:00;23.59;Olympia;605;577;1182;;;;;
2011.10.01;00:00;23.59;Hirsch;268;254;522;;;;;
2011.10.02;00:00;23.59;Hirsch;320;290;610;;;;;
2011.10.03;00:00;23.59;Hirsch;315;363;678;;;;;
2011.10.04;00:00;23.59;Hirsch;390;426;816;;;;;
2011.10.05;00:00;23.59;Hirsch;383;390;773;;;;;
2011.10.06;00:00;23.59;Hirsch;360;378;738;;;;;
2011.10.07;00:00;23.59;Hirsch;131;157;288;;;;;
2011.10.08;00:00;23.59;Hirsch;50;42;92;;;;;
2011.10.09;00:00;23.59;Hirsch;129;135;264;;;;;
2011.10.10;00:00;23.59;Hirsch;138;142;280;;;;;
2011.10.11;00:00;23.59;Hirsch;331;338;669;;;;;
2011.10.12;00:00;23.59;Hirsch;273;287;560;;;;;
2011.10.13;00:00;23.59;Hirsch;180;181;361;;;;;
2011.10.14;00:00;23.59;Hirsch;282;312;594;;;;;
2011.10.15;00:00;23.59;Hirsch;181;199;380;;;;;
2011.10.16;00:00;23.59;Hirsch;178;229;407;;;;;
2011.10.17;00:00;23.59;Hirsch;275;243;518;;;;;
2011.10.18;00:00;23.59;Hirsch;354;368;722;;;;;
2011.10.19;00:00;23.59;Hirsch;235;279;514;;;;;
2011.10.20;00:00;23.59;Hirsch;240;245;485;;;;;
2011.10.21;00:00;23.59;Hirsch;228;240;468;;;;;
2011.10.22;00:00;23.59;Hirsch;128;141;269;;;;;
2011.10.23;00:00;23.59;Hirsch;142;146;288;;;;;
2011.10.24;00:00;23.59;Hirsch;281;303;584;;;;;
2011.10.25;00:00;23.59;Hirsch;298;308;606;;;;;
2011.10.26;00:00;23.59;Hirsch;223;223;446;;;;;
2011.10.27;00:00;23.59;Hirsch;257;271;528;;;;;
2011.10.28;00:00;23.59;Hirsch;284;301;585;;;;;
2011.10.29;00:00;23.59;Hirsch;160;188;348;;;;;
2011.10.30;00:00;23.59;Hirsch;194;170;364;;;;;
2011.10.31;00:00;23.59;Hirsch;197;212;409;;;;;
2011.10.01;00:00;23.59;Margareten;1698;1571;3269;;;;;
2011.10.02;00:00;23.59;Margareten;1442;1364;2806;;;;;
2011.10.03;00:00;23.59;Margareten;1735;1568;3303;;;;;
