datum;uhrzeit_start;uhrzeit_ende;zaehlstelle;richtung_1;richtung_2;gesamt;min-temp;max-temp;niederschlag;bewoelkung;sonnenstunden
2011.05.01;00:00;23.59;Arnulf;488;24;512;;;;;
2011.05.02;00:00;23.59;Arnulf;973;33;1006;;;;;
2011.05.03;00:00;23.59;Arnulf;512;23;535;;;;;
2011.05.04;00:00;23.59;Arnulf;980;35;1015;;;;;
2011.05.05;00:00;23.59;Arnulf;1182;55;1237;;;;;
2011.05.06;00:00;23.59;Arnulf;1232;43;1275;;;;;
2011.05.07;00:00;23.59;Arnulf;938;28;966;;;;;
2011.05.08;00:00;23.59;Arnulf;800;36;836;;;;;
2011.05.09;00:00;23.59;Arnulf;1253;32;1285;;;;;
2011.05.10;00:00;23.59;Arnulf;1345;43;1388;;;;;
2011.05.11;00:00;23.59;Arnulf;1170;38;1208;;;;;
2011.05.12;00:00;23.59;Arnulf;793;30;823;;;;;
2011.05.13;00:00;23.59;Arnulf;1086;35;1121;;;;;
2011.05.14;00:00;23.59;Arnulf;414;21;435;;;;;
2011.05.15;00:00;23.59;Arnulf;252;20;272;;;;;
2011.05.16;00:00;23.59;Arnulf;718;28;746;;;;;
2011.05.17;00:00;23.59;Arnulf;885;33;918;;;;;
2011.05.18;00:00;23.59;Arnulf;1217;49;1266;;;;;
2011.05.19;00:00;23.59;Arnulf;1332;48;1380;;;;;
2011.05.20;00:00;23.59;Arnulf;962;33;995;;;;;
2011.05.21;00:00;23.59;Arnulf;889;43;932;;;;;
2011.05.22;00:00;23.59;Arnulf;598;45;643;;;;;
2011.05.23;00:00;23.59;Arnulf;1117;42;1159;;;;;
2011.05.24;00:00;23.59;Arnulf;1302;43;1345;;;;;
2011.05.25;00:00;23.59;Arnulf;1309;44;1353;;;;;
2011.05.26;00:00;23.59;Arnulf;1026;47;1073;;;;;
2011.05.27;00:00;23.59;Arnulf;334;21;355;;;;;
2011.05.28;00:00;23.59;Arnulf;571;37;608;;;;;
2011.05.29;00:00;23.59;Arnulf;699;38;737;;;;;
2011.05.30;00:00;23.59;Arnulf;1443;46;1489;;;;;
2011.05.31;00:00;23.59;Arnulf;898;21;919;;;;;
2011.05.01;00:00;23.59;Kreuther;200;134;334;;;;;
2011.05.02;00:00;23.59;Kreuther;357;299;656;;;;;
2011.05.03;00:00;23.59;Kreuther;156;121;277;;;;;
2011.05.04;00:00;23.59;Kreuther;375;256;631;;;;;
2011.05.05;00:00;23.59;Kreuther;430;299;729;;;;;
2011.05.06;00:00;23.59;Kreuther;523;377;900;;;;;
2011.05.07;00:00;23.59;Kreuther;416;331;747;;;;;
2011.05.08;00:00;23.59;Kreuther;497;343;840;;;;;
2011.05.09;00:00;23.59;Kreuther;506;395;901;;;;;
2011.05.10;00:00;23.59;Kreuther;568;403;971;;;;;
2011.05.11;00:00;23.59;Kreuther;505;376;881;;;;;
2011.05.12;00:00;23.59;Kreuther;347;276;623;;;;;
2011.05.13;00:00;23.59;Kreuther;489;353;842;;;;;
2011.05.14;00:00;23.59;Kreuther;153;130;283;;;;;
2011.05.15;00:00;23.59;Kreuther;97;58;155;;;;;
2011.05.16;00:00;23.59;Kreuther;321;241;562;;;;;
2011.05.17;00:00;23.59;Kreuther;441;358;799;;;;;
2011.05.18;00:00;23.59;Kreuther;540;380;920;;;;;
2011.05.19;00:00;23.59;Kreuther;568;407;975;;;;;
2011.05.20;00:00;23.59;Kreuther;431;299;730;;;;;
2011.05.21;00:00;23.59;Kreuther;358;291;649;;;;;
2011.05.22;00:00;23.59;Kreuther;347;263;610;;;;;
2011.05.23;00:00;23.59;Kreuther;512;405;917;;;;;
2011.05.24;00:00;23.59;Kreuther;598;448;1046;;;;;
2011.05.25;00:00;23.59;Kreuther;618;422;1040;;;;;
2011.05.26;00:00;23.59;Kreuther;487;352;839;;;;;
2011.05.27;00:00;23.59;Kreuther;138;93;231;;;;;
2011.05.28;00:00;23.59;Kreuther;207;149;356;;;;;
2011.05.29;00:00;23.59;Kreuther;371;292;663;;;;;
2011.05.30;00:00;23.59;Kreuther;606;457;1063;;;;;
2011.05.31;00:00;23.59;Kreuther;372;270;642;;;;;
2011.05.01;00:00;23.59;Olympia;629;565;1194;;;;;
2011.05.02;00:00;23.59;Olympia;1066;1076;2142;;;;;
2011.05.03;00:00;23.59;Olympia;588;630;1218;;;;;
2011.05.04;00:00;23.59;Olympia;1122;1140;2262;;;;;
2011.05.05;00:00;23.59;Olympia;1175;1305;2480;;;;;
2011.05.06;00:00;23.59;Olympia;1140;1205;2345;;;;;
2011.05.07;00:00;23.59;Olympia;1197;1192;2389;;;;;
2011.05.08;00:00;23.59;Olympia;1446;1413;2859;;;;;
2011.05.09;00:00;23.59;Olympia;1418;1446;2864;;;;;
2011.05.10;00:00;23.59;Olympia;1426;1432;2858;;;;;
2011.05.11;00:00;23.59;Olympia;1361;1369;2730;;;;;
2011.05.12;00:00;23.59;Olympia;970;966;1936;;;;;
2011.05.13;00:00;23.59;Olympia;1171;1133;2304;;;;;
2011.05.14;00:00;23.59;Olympia;590;570;1160;;;;;
2011.05.15;00:00;23.59;Olympia;495;512;1007;;;;;
2011.05.16;00:00;23.59;Olympia;896;915;1811;;;;;
2011.05.17;00:00;23.59;Olympia;1252;1246;2498;;;;;
2011.05.18;00:00;23.59;Olympia;1598;1593;3191;;;;;
2011.05.19;00:00;23.59;Olympia;1677;1618;3295;;;;;
2011.05.20;00:00;23.59;Olympia;1067;1140;2207;;;;;
2011.05.21;00:00;23.59;Olympia;1130;1139;2269;;;;;
2011.05.22;00:00;23.59;Olympia;1193;1202;2395;;;;;
2011.05.23;00:00;23.59;Olympia;1428;1441;2869;;;;;
2011.05.24;00:00;23.59;Olympia;1565;1509;3074;;;;;
