datum;uhrzeit_start;uhrzeit_ende;zaehlstelle;richtung_1;richtung_2;gesamt;min-temp;max-temp;niederschlag;bewoelkung;sonnenstunden
2015.09.01;00:00;23.59;Arnulf;1517;76;1593;14,7;31,8;14,8;53;7,5
2015.09.02;00:00;23.59;Arnulf;878;50;928;13,2;16,0;6,6;94;0,0
2015.09.03;00:00;23.59;Arnulf;767;52;819;13,2;18,5;13,3;95;0,3
2015.09.04;00:00;23.59;Arnulf;1110;64;1174;11,9;20,2;0,0;89;3,5
2015.09.05;00:00;23.59;Arnulf;800;37;837;11,4;16,7;1,4;95;1,4
2015.09.06;00:00;23.59;Arnulf;692;28;720;8,4;15,0;1,1;76;3,7
2015.09.07;00:00;23.59;Arnulf;1253;67;1320;8,7;14,9;1,5;93;0,6
2015.09.08;00:00;23.59;Arnulf;1374;72;1446;10,7;18,5;0,0;79;6,2
2015.09.09;00:00;23.59;Arnulf;1494;65;1559;8,0;19,1;0,0;33;8,0
2015.09.10;00:00;23.59;Arnulf;1296;68;1364;7,3;16,4;0,0;55;3,3
2015.09.11;00:00;23.59;Arnulf;1477;74;1551;5,9;21,5;0,6;38;10,4
2015.09.12;00:00;23.59;Arnulf;1218;27;1245;9,6;26,1;0,0;24;8,9
2015.09.13;00:00;23.59;Arnulf;1156;65;1221;13,6;26,1;0,5;49;8,0
2015.09.14;00:00;23.59;Arnulf;968;59;1027;13,2;17,5;4,7;88;1,4
2015.09.15;00:00;23.59;Arnulf;1463;73;1536;13,0;21,0;0,0;81;4,8
2015.09.16;00:00;23.59;Arnulf;1747;85;1832;12,9;29,8;0,0;54;7,1
2015.09.17;00:00;23.59;Arnulf;1538;68;1606;12,7;30,1;0,1;53;7,3
2015.09.18;00:00;23.59;Arnulf;1307;87;1394;12,2;18,5;1,3;94;2,8
2015.09.19;00:00;23.59;Arnulf;961;47;1008;8,7;20,1;1,2;58;6,2
2015.09.20;00:00;23.59;Arnulf;624;60;684;10,1;16,2;0,2;94;2,0
2015.09.21;00:00;23.59;Arnulf;1549;106;1655;8,4;19,5;0,0;25;11,6
2015.09.22;00:00;23.59;Arnulf;1532;88;1620;8,2;19,4;9,6;75;4,7
2015.09.23;00:00;23.59;Arnulf;829;56;885;9,1;13,5;1,4;94;0,3
2015.09.24;00:00;23.59;Arnulf;1371;91;1462;7,3;13,6;0,0;81;0,8
2015.09.25;00:00;23.59;Arnulf;1305;90;1395;7,4;17,7;0,0;95;1,4
2015.09.26;00:00;23.59;Arnulf;720;57;777;11,7;16,5;0,0;99;0,0
2015.09.27;00:00;23.59;Arnulf;702;52;754;9,4;16,3;0,0;94;5,6
2015.09.28;00:00;23.59;Arnulf;1389;92;1481;7,0;15,0;0,0;73;1,8
2015.09.29;00:00;23.59;Arnulf;1451;90;1541;6,0;16,0;0,0;14;8,9
2015.09.30;00:00;23.59;Arnulf;1375;73;1448;6,0;15,4;0,0;14;10,3
2015.09.01;00:00;23.59;Kreuther;85;176;261;14,7;31,8;14,8;53;7,5
2015.09.02;00:00;23.59;Kreuther;69;95;164;13,2;16,0;6,6;94;0,0
2015.09.03;00:00;23.59;Kreuther;64;83;147;13,2;18,5;13,3;95;0,3
2015.09.04;00:00;23.59;Kreuther;80;133;213;11,9;20,2;0,0;89;3,5
2015.09.05;00:00;23.59;Kreuther;57;96;153;11,4;16,7;1,4;95;1,4
