datum;uhrzeit_start;uhrzeit_ende;zaehlstelle;richtung_1;richtung_2;gesamt;min-temp;max-temp;niederschlag;bewoelkung;sonnenstunden
2015.05.01;00:00;23.59;Arnulf;93;12;105;8,1;11,1;33,5;98;0,0
2015.05.02;00:00;23.59;Arnulf;489;21;510;7,8;13,9;9,0;96;0,1
2015.05.03;00:00;23.59;Arnulf;154;12;166;10,7;16,9;10,1;98;0,0
2015.05.04;00:00;23.59;Arnulf;1156;70;1226;14,0;21,1;0,0;90;2,0
2015.05.05;00:00;23.59;Arnulf;1876;109;1985;14,3;26,8;4,1;88;4,0
2015.05.06;00:00;23.59;Arnulf;803;40;843;10,9;15,0;10,3;79;3,8
2015.05.07;00:00;23.59;Arnulf;1848;102;1950;10,3;19,1;0,0;64;9,6
2015.05.08;00:00;23.59;Arnulf;1878;81;1959;9,4;23,2;0,5;44;12,1
2015.05.09;00:00;23.59;Arnulf;585;32;617;11,8;18,6;4,7;83;0,9
2015.05.10;00:00;23.59;Arnulf;856;34;890;10,0;20,3;0,0;56;9,2
2015.05.11;00:00;23.59;Arnulf;1983;70;2053;8,0;23,6;0,0;31;12,5
2015.05.12;00:00;23.59;Arnulf;2244;80;2324;10,1;28,5;0,0;41;12,6
2015.05.13;00:00;23.59;Arnulf;1503;85;1588;15,2;22,8;1,4;79;5,6
2015.05.14;00:00;23.59;Arnulf;727;34;761;11,8;17,7;1,5;91;2,5
2015.05.15;00:00;23.59;Arnulf;516;33;549;10,7;14,5;3,8;93;0,0
2015.05.16;00:00;23.59;Arnulf;1098;30;1128;8,5;20,0;0,7;44;11,0
2015.05.17;00:00;23.59;Arnulf;610;34;644;10,2;18,8;1,3;88;3,7
2015.05.18;00:00;23.59;Arnulf;2039;76;2115;9,3;24,4;1,6;19;14,2
2015.05.19;00:00;23.59;Arnulf;887;53;940;10,1;18,4;23,2;96;0,5
2015.05.20;00:00;23.59;Arnulf;500;29;529;6,4;10,2;11,8;95;0,0
2015.05.21;00:00;23.59;Arnulf;866;56;922;7,0;12,0;1,8;98;0,0
2015.05.22;00:00;23.59;Arnulf;1044;70;1114;6,6;15,6;0,0;94;1,4
2015.05.23;00:00;23.59;Arnulf;626;28;654;8,6;15,4;7,1;98;0,2
2015.05.24;00:00;23.59;Arnulf;404;11;415;8,5;15,3;0,2;94;0,2
2015.05.25;00:00;23.59;Arnulf;611;26;637;10,8;19,6;7,2;94;2,8
2015.05.26;00:00;23.59;Arnulf;738;46;784;9,0;15,9;0,5;98;0,5
2015.05.27;00:00;23.59;Arnulf;1246;70;1316;5,7;14,9;0,0;73;3,9
2015.05.28;00:00;23.59;Arnulf;1641;77;1718;5,7;21,4;0,0;34;13,3
2015.05.29;00:00;23.59;Arnulf;1619;78;1697;11,0;24,2;1,2;68;10,3
2015.05.30;00:00;23.59;Arnulf;952;38;990;13,2;20,1;0,0;75;8,4
2015.05.31;00:00;23.59;Arnulf;934;27;961;10,4;22,2;0,0;78;7,2
2015.05.01;00:00;23.59;Kreuther;11;21;32;8,1;11,1;33,5;98;0,0
2015.05.02;00:00;23.59;Kreuther;51;68;119;7,8;13,9;9,0;96;0,1
2015.05.03;00:00;23.59;Kreuther;21;22;43;10,7;16,9;10,1;98;0,0
2015.05.04;00:00;23.59;Kreuther;98;156;254;14,0;21,1;0,0;90;2,0
2015.05.05;00:00;23.59;Kreuther;140;238;378;14,3;26,8;4,1;88;4,0
2015.05.06;00:00;23.59;Kreuther;73;104;177;10,9;15,0;10,3;79;3,8
2015.05.07;00:00;23.59;Kreuther;139;231;370;10,3;19,1;0,0;64;9,6
2015.05.08;00:00;23.59;Kreuther;150;216;366;9,4;23,2;0,5;44;12,1
2015.05.09;00:00;23.59;Kreuther;47;111;158;11,8;18,6;4,7;83;0,9
2015.05.10;00:00;23.59;Kreuther;62;135;197;10,0;20,3;0,0;56;9,2
2015.05.11;00:00;23.59;Kreuther;169;259;428;8,0;23,6;0,0;31;12,5
2015.05.12;00:00;23.59;Kreuther;160;289;449;10,1;28,5;0,0;41;12,6
2015.05.13;00:00;23.59;Kreuther;108;199;307;15,2;22,8;1,4;79;5,6
2015.05.14;00:00;23.59;Kreuther;54;111;165;11,8;17,7;1,5;91;2,5
2015.05.15;00:00;23.59;Kreuther;44;73;117;10,7;14,5;3,8;93;0,0
2015.05.16;00:00;23.59;Kreuther;116;187;303;8,5;20,0;0,7;44;11,0
2015.05.17;00:00;23.59;Kreuther;59;110;169;10,2;18,8;1,3;88;3,7
2015.05.18;00:00;23.59;Kreuther;172;260;432;9,3;24,4;1,6;19;14,2
2015.05.19;00:00;23.59;Kreuther;59;85;144;10,1;18,4;23,2;96;0,5
2015.05.20;00:00;23.59;Kreuther;49;53;102;6,4;10,2;11,8;95;0,0
2015.05.21;00:00;23.59;Kreuther;54;76;130;7,0;12,0;1,8;98;0,0
2015.05.22;00:00;23.59;Kreuther;85;139;224;6,6;15,6;0,0;94;1,4
2015.05.23;00:00;23.59;Kreuther;38;72;110;8,6;15,4;7,1;98;0,2
2015.05.24;00:00;23.59;Kreuther;40;76;116;8,5;15,3;0,2;94;0,2
2015.05.25;00:00;23.59;Kreuther;68;138;206;10,8;19,6;7,2;94;2,8
2015.05.26;00:00;23.59;Kreuther;58;75;133;9,0;15,9;0,5;98;0,5
2015.05.27;00:00;23.59;Kreuther;98;141;239;5,7;14,9;0,0;73;3,9
2015.05.28;00:00;23.59;Kreuther;148;247;395;5,7;21,4;0,0;34;13,3
2015.05.29;00:00;23.59;Kreuther;107;211;318;11,0;24,2;1,2;68;10,3
2015.05.30;00:00;23.59;Kreuther;88;138;226;13,2;20,1;0,0;75;8,4
2015.05.31;00:00;23.59;Kreuther;81;207;288;10,4;22,2;0,0;78;7,2
2015.05.01;00:00;23.59;Olympia;154;119;273;8,1;11,1;33,5;98;0,0
2015.05.02;00:00;23.59;Olympia;438;401;839;7,8;13,9;9,0;96;0,1
2015.05.03;00:00;23.59;Olympia;238;219;457;10,7;16,9;10,1;98;0,0
2015.05.04;00:00;23.59;Olympia;960;995;1955;14,0;21,1;0,0;90;2,0
2015.05.05;00:00;23.59;Olympia;1465;1493;2958;14,3;26,8;4,1;88;4,0
2015.05.06;00:00;23.59;Olympia;728;718;1446;10,9;15,0;10,3;79;3,8
2015.05.07;00:00;23.59;Olympia;1474;1464;2938;10,3;19,1;0,0;64;9,6
2015.05.08;00:00;23.59;Olympia;1435;1398;2833;9,4;23,2;0,5;44;12,1
2015.05.09;00:00;23.59;Olympia;624;531;1155;11,8;18,6;4,7;83;0,9
