datum;uhrzeit_start;uhrzeit_ende;zaehlstelle;richtung_1;richtung_2;gesamt;min-temp;max-temp;niederschlag;bewoelkung;sonnenstunden
2012.12.01;00:00;23.59;Arnulf;309;13;322;;;;;
2012.12.02;00:00;23.59;Arnulf;205;13;218;;;;;
2012.12.03;00:00;23.59;Arnulf;439;25;464;;;;;
2012.12.04;00:00;23.59;Arnulf;455;13;468;;;;;
2012.12.05;00:00;23.59;Arnulf;603;23;626;;;;;
2012.12.06;00:00;23.59;Arnulf;409;24;433;;;;;
2012.12.07;00:00;23.59;Arnulf;271;16;287;;;;;
2012.12.08;00:00;23.59;Arnulf;143;8;151;;;;;
2012.12.09;00:00;23.59;Arnulf;122;7;129;;;;;
2012.12.10;00:00;23.59;Arnulf;213;10;223;;;;;
2012.12.11;00:00;23.59;Arnulf;59;12;71;;;;;
2012.12.12;00:00;23.59;Arnulf;19;5;24;;;;;
2012.12.13;00:00;23.59;Arnulf;31;9;40;;;;;
2012.12.14;00:00;23.59;Arnulf;93;20;113;;;;;
2012.12.15;00:00;23.59;Arnulf;99;3;102;;;;;
2012.12.16;00:00;23.59;Arnulf;158;8;166;;;;;
2012.12.17;00:00;23.59;Arnulf;485;15;500;;;;;
2012.12.18;00:00;23.59;Arnulf;571;20;591;;;;;
2012.12.19;00:00;23.59;Arnulf;617;18;635;;;;;
2012.12.20;00:00;23.59;Arnulf;582;24;606;;;;;
2012.12.21;00:00;23.59;Arnulf;308;30;338;;;;;
2012.12.22;00:00;23.59;Arnulf;287;27;314;;;;;
2012.12.23;00:00;23.59;Arnulf;96;10;106;;;;;
2012.12.24;00:00;23.59;Arnulf;223;13;236;;;;;
2012.12.25;00:00;23.59;Arnulf;130;13;143;;;;;
2012.12.26;00:00;23.59;Arnulf;102;7;109;;;;;
2012.12.27;00:00;23.59;Arnulf;281;20;301;;;;;
2012.12.28;00:00;23.59;Arnulf;219;41;260;;;;;
2012.12.29;00:00;23.59;Arnulf;307;17;324;;;;;
2012.12.30;00:00;23.59;Arnulf;181;22;203;;;;;
2012.12.31;00:00;23.59;Arnulf;265;12;277;;;;;
2012.12.01;00:00;23.59;Kreuther;27;16;43;;;;;
2012.12.02;00:00;23.59;Kreuther;7;4;11;;;;;
2012.12.03;00:00;23.59;Kreuther;35;37;72;;;;;
2012.12.04;00:00;23.59;Kreuther;47;49;96;;;;;
2012.12.05;00:00;23.59;Kreuther;59;45;104;;;;;
2012.12.06;00:00;23.59;Kreuther;26;14;40;;;;;
2012.12.07;00:00;23.59;Kreuther;2;8;10;;;;;
2012.12.08;00:00;23.59;Kreuther;3;5;8;;;;;
2012.12.09;00:00;23.59;Kreuther;5;6;11;;;;;
2012.12.10;00:00;23.59;Kreuther;14;10;24;;;;;
2012.12.11;00:00;23.59;Kreuther;1;2;3;;;;;
2012.12.12;00:00;23.59;Kreuther;2;0;2;;;;;
2012.12.13;00:00;23.59;Kreuther;0;1;1;;;;;
2012.12.14;00:00;23.59;Kreuther;4;2;6;;;;;
2012.12.15;00:00;23.59;Kreuther;4;6;10;;;;;
2012.12.16;00:00;23.59;Kreuther;8;5;13;;;;;
2012.12.17;00:00;23.59;Kreuther;32;37;69;;;;;
2012.12.18;00:00;23.59;Kreuther;39;33;72;;;;;
2012.12.19;00:00;23.59;Kreuther;45;38;83;;;;;
2012.12.20;00:00;23.59;Kreuther;24;12;36;;;;;
2012.12.21;00:00;23.59;Kreuther;30;28;58;;;;;
2012.12.22;00:00;23.59;Kreuther;30;32;62;;;;;
2012.12.23;00:00;23.59;Kreuther;23;21;44;;;;;
2012.12.24;00:00;23.59;Kreuther;65;56;121;;;;;
2012.12.25;00:00;23.59;Kreuther;48;48;96;;;;;
2012.12.26;00:00;23.59;Kreuther;22;23;45;;;;;
2012.12.27;00:00;23.59;Kreuther;35;30;65;;;;;
2012.12.28;00:00;23.59;Kreuther;19;22;41;;;;;
2012.12.29;00:00;23.59;Kreuther;30;31;61;;;;;
2012.12.30;00:00;23.59;Kreuther;30;22;52;;;;;
2012.12.31;00:00;23.59;Kreuther;30;32;62;;;;;
2012.12.01;00:00;23.59;Olympia;379;308;687;;;;;
2012.12.02;00:00;23.59;Olympia;160;154;314;;;;;
2012.12.03;00:00;23.59;Olympia;426;434;860;;;;;
2012.12.04;00:00;23.59;Olympia;433;433;866;;;;;
2012.12.05;00:00;23.59;Olympia;447;444;891;;;;;
2012.12.06;00:00;23.59;Olympia;240;274;514;;;;;
2012.12.07;00:00;23.59;Olympia;191;237;428;;;;;
2012.12.08;00:00;23.59;Olympia;116;114;230;;;;;
2012.12.09;00:00;23.59;Olympia;100;101;201;;;;;
2012.12.10;00:00;23.59;Olympia;259;254;513;;;;;
2012.12.11;00:00;23.59;Olympia;174;224;398;;;;;
2012.12.12;00:00;23.59;Olympia;114;189;303;;;;;
2012.12.13;00:00;23.59;Olympia;120;212;332;;;;;
2012.12.14;00:00;23.59;Olympia;175;234;409;;;;;
2012.12.15;00:00;23.59;Olympia;126;122;248;;;;;
2012.12.16;00:00;23.59;Olympia;207;198;405;;;;;
2012.12.17;00:00;23.59;Olympia;437;436;873;;;;;
2012.12.18;00:00;23.59;Olympia;473;468;941;;;;;
2012.12.19;00:00;23.59;Olympia;450;479;929;;;;;
2012.12.20;00:00;23.59;Olympia;380;382;762;;;;;
2012.12.21;00:00;23.59;Olympia;202;202;404;;;;;
2012.12.22;00:00;23.59;Olympia;183;170;353;;;;;
2012.12.23;00:00;23.59;Olympia;149;136;285;;;;;
2012.12.24;00:00;23.59;Olympia;217;189;406;;;;;
2012.12.25;00:00;23.59;Olympia;241;256;497;;;;;
2012.12.26;00:00;23.59;Olympia;135;127;262;;;;;
2012.12.27;00:00;23.59;Olympia;204;202;406;;;;;
2012.12.28;00:00;23.59;Olympia;210;219;429;;;;;
2012.12.29;00:00;23.59;Olympia;367;380;747;;;;;
2012.12.30;00:00;23.59;Olympia;412;437;849;;;;;
2012.12.31;00:00;23.59;Olympia;514;437;951;;;;;
2012.12.01;00:00;23.59;Hirsch;42;63;105;;;;;
2012.12.02;00:00;23.59;Hirsch;21;33;54;;;;;
2012.12.03;00:00;23.59;Hirsch;74;60;134;;;;;
2012.12.04;00:00;23.59;Hirsch;48;106;154;;;;;
2012.12.05;00:00;23.59;Hirsch;93;104;197;;;;;
2012.12.06;00:00;23.59;Hirsch;30;25;55;;;;;
2012.12.07;00:00;23.59;Hirsch;7;4;11;;;;;
2012.12.08;00:00;23.59;Hirsch;15;7;22;;;;;
2012.12.09;00:00;23.59;Hirsch;7;11;18;;;;;
2012.12.10;00:00;23.59;Hirsch;12;15;27;;;;;
2012.12.11;00:00;23.59;Hirsch;1;1;2;;;;;
2012.12.12;00:00;23.59;Hirsch;1;3;4;;;;;
2012.12.13;00:00;23.59;Hirsch;3;1;4;;;;;
2012.12.14;00:00;23.59;Hirsch;1;2;3;;;;;
2012.12.15;00:00;23.59;Hirsch;22;15;37;;;;;
2012.12.16;00:00;23.59;Hirsch;11;15;26;;;;;
2012.12.17;00:00;23.59;Hirsch;66;113;179;;;;;
2012.12.18;00:00;23.59;Hirsch;81;52;133;;;;;
2012.12.19;00:00;23.59;Hirsch;95;132;227;;;;;
2012.12.20;00:00;23.59;Hirsch;73;101;174;;;;;
2012.12.21;00:00;23.59;Hirsch;48;56;104;;;;;
2012.12.22;00:00;23.59;Hirsch;50;69;119;;;;;
2012.12.23;00:00;23.59;Hirsch;30;41;71;;;;;
2012.12.24;00:00;23.59;Hirsch;46;73;119;;;;;
2012.12.25;00:00;23.59;Hirsch;47;62;109;;;;;
2012.12.26;00:00;23.59;Hirsch;30;40;70;;;;;
2012.12.27;00:00;23.59;Hirsch;39;56;95;;;;;
2012.12.28;00:00;23.59;Hirsch;34;41;75;;;;;
2012.12.29;00:00;23.59;Hirsch;61;80;141;;;;;
2012.12.30;00:00;23.59;Hirsch;45;68;113;;;;;
2012.12.31;00:00;23.59;Hirsch;47;54;101;;;;;
2012.12.01;00:00;23.59;Margareten;531;523;1054;;;;;
2012.12.02;00:00;23.59;Margareten;313;287;600;;;;;
2012.12.03;00:00;23.59;Margareten;629;569;1198;;;;;
2012.12.04;00:00;23.59;Margareten;717;660;1377;;;;;
2012.12.05;00:00;23.59;Margareten;857;834;1691;;;;;
2012.12.06;00:00;23.59;Margareten;500;498;998;;;;;
2012.12.07;00:00;23.59;Margareten;436;379;815;;;;;
2012.12.08;00:00;23.59;Margareten;260;237;497;;;;;
2012.12.09;00:00;23.59;Margareten;169;180;349;;;;;
2012.12.10;00:00;23.59;Margareten;256;286;542;;;;;
2012.12.11;00:00;23.59;Margareten;49;70;119;;;;;
2012.12.12;00:00;23.59;Margareten;34;15;49;;;;;
2012.12.13;00:00;23.59;Margareten;119;13;132;;;;;
2012.12.14;00:00;23.59;Margareten;257;155;412;;;;;
2012.12.15;00:00;23.59;Margareten;196;197;393;;;;;
2012.12.16;00:00;23.59;Margareten;248;237;485;;;;;
2012.12.17;00:00;23.59;Margareten;635;636;1271;;;;;
2012.12.18;00:00;23.59;Margareten;807;785;1592;;;;;
2012.12.19;00:00;23.59;Margareten;803;820;1623;;;;;
2012.12.20;00:00;23.59;Margareten;805;762;1567;;;;;
2012.12.21;00:00;23.59;Margareten;457;421;878;;;;;
2012.12.22;00:00;23.59;Margareten;438;436;874;;;;;
2012.12.23;00:00;23.59;Margareten;200;201;401;;;;;
2012.12.24;00:00;23.59;Margareten;472;443;915;;;;;
2012.12.25;00:00;23.59;Margareten;263;222;485;;;;;
2012.12.26;00:00;23.59;Margareten;179;198;377;;;;;
2012.12.27;00:00;23.59;Margareten;323;305;628;;;;;
2012.12.28;00:00;23.59;Margareten;277;285;562;;;;;
2012.12.29;00:00;23.59;Margareten;488;450;938;;;;;
2012.12.30;00:00;23.59;Margareten;295;297;592;;;;;
2012.12.31;00:00;23.59;Margareten;437;467;904;;;;;
2012.12.01;00:00;23.59;Erhardt;487;548;1035;;;;;
2012.12.02;00:00;23.59;Erhardt;367;377;744;;;;;
2012.12.03;00:00;23.59;Erhardt;678;776;1454;;;;;
2012.12.04;00:00;23.59;Erhardt;722;802;1524;;;;;
2012.12.05;00:00;23.59;Erhardt;924;1016;1940;;;;;
2012.12.06;00:00;23.59;Erhardt;588;686;1274;;;;;
2012.12.07;00:00;23.59;Erhardt;461;474;935;;;;;
2012.12.08;00:00;23.59;Erhardt;257;313;570;;;;;
2012.12.09;00:00;23.59;Erhardt;221;262;483;;;;;
2012.12.10;00:00;23.59;Erhardt;393;463;856;;;;;
2012.12.11;00:00;23.59;Erhardt;230;355;585;;;;;
2012.12.12;00:00;23.59;Erhardt;264;292;556;;;;;
2012.12.13;00:00;23.59;Erhardt;337;333;670;;;;;
2012.12.14;00:00;23.59;Erhardt;376;408;784;;;;;
2012.12.15;00:00;23.59;Erhardt;251;275;526;;;;;
2012.12.16;00:00;23.59;Erhardt;348;413;761;;;;;
2012.12.17;00:00;23.59;Erhardt;626;762;1388;;;;;
2012.12.18;00:00;23.59;Erhardt;791;924;1715;;;;;
2012.12.19;00:00;23.59;Erhardt;844;1012;1856;;;;;
2012.12.20;00:00;23.59;Erhardt;761;872;1633;;;;;
2012.12.21;00:00;23.59;Erhardt;477;488;965;;;;;
2012.12.22;00:00;23.59;Erhardt;381;439;820;;;;;
2012.12.23;00:00;23.59;Erhardt;234;255;489;;;;;
2012.12.24;00:00;23.59;Erhardt;339;348;687;;;;;
2012.12.25;00:00;23.59;Erhardt;298;325;623;;;;;
2012.12.26;00:00;23.59;Erhardt;152;168;320;;;;;
2012.12.27;00:00;23.59;Erhardt;270;293;563;;;;;
2012.12.28;00:00;23.59;Erhardt;289;305;594;;;;;
2012.12.29;00:00;23.59;Erhardt;467;499;966;;;;;
2012.12.30;00:00;23.59;Erhardt;439;492;931;;;;;
2012.12.31;00:00;23.59;Erhardt;398;443;841;;;;;
