datum;uhrzeit_start;uhrzeit_ende;zaehlstelle;richtung_1;richtung_2;gesamt;min-temp;max-temp;niederschlag;bewoelkung;sonnenstunden
2012.03.01;00:00;23.59;Arnulf;762;29;791;;;;;
2012.03.02;00:00;23.59;Arnulf;641;31;672;;;;;
2012.03.03;00:00;23.59;Arnulf;462;7;469;;;;;
2012.03.04;00:00;23.59;Arnulf;261;15;276;;;;;
2012.03.05;00:00;23.59;Arnulf;367;11;378;;;;;
2012.03.06;00:00;23.59;Arnulf;577;28;605;;;;;
2012.03.07;00:00;23.59;Arnulf;685;37;722;;;;;
2012.03.08;00:00;23.59;Arnulf;363;18;381;;;;;
2012.03.09;00:00;23.59;Arnulf;566;19;585;;;;;
2012.03.10;00:00;23.59;Arnulf;419;12;431;;;;;
2012.03.11;00:00;23.59;Arnulf;171;11;182;;;;;
2012.03.12;00:00;23.59;Arnulf;465;20;485;;;;;
2012.03.13;00:00;23.59;Arnulf;626;26;652;;;;;
2012.03.14;00:00;23.59;Arnulf;680;41;721;;;;;
2012.03.15;00:00;23.59;Arnulf;779;44;823;;;;;
2012.03.16;00:00;23.59;Arnulf;812;30;842;;;;;
2012.03.17;00:00;23.59;Arnulf;613;16;629;;;;;
2012.03.18;00:00;23.59;Arnulf;491;31;522;;;;;
2012.03.19;00:00;23.59;Arnulf;295;26;321;;;;;
2012.03.20;00:00;23.59;Arnulf;592;23;615;;;;;
2012.03.21;00:00;23.59;Arnulf;591;40;631;;;;;
2012.03.22;00:00;23.59;Arnulf;883;42;925;;;;;
2012.03.23;00:00;23.59;Arnulf;778;41;819;;;;;
2012.03.24;00:00;23.59;Arnulf;445;14;459;;;;;
2012.03.25;00:00;23.59;Arnulf;525;33;558;;;;;
2012.03.26;00:00;23.59;Arnulf;910;30;940;;;;;
2012.03.27;00:00;23.59;Arnulf;947;37;984;;;;;
2012.03.28;00:00;23.59;Arnulf;888;40;928;;;;;
2012.03.29;00:00;23.59;Arnulf;853;39;892;;;;;
2012.03.30;00:00;23.59;Arnulf;503;34;537;;;;;
2012.03.31;00:00;23.59;Arnulf;472;15;487;;;;;
2012.03.01;00:00;23.59;Kreuther;108;95;203;;;;;
2012.03.02;00:00;23.59;Kreuther;134;114;248;;;;;
2012.03.03;00:00;23.59;Kreuther;60;61;121;;;;;
