datum;uhrzeit_start;uhrzeit_ende;zaehlstelle;richtung_1;richtung_2;gesamt;min-temp;max-temp;niederschlag;bewoelkung;sonnenstunden
2012.06.01;00:00;23.59;Arnulf;848;36;884;;;;;
2012.06.02;00:00;23.59;Arnulf;1142;27;1169;;;;;
2012.06.03;00:00;23.59;Arnulf;474;32;506;;;;;
2012.06.04;00:00;23.59;Arnulf;508;15;523;;;;;
2012.06.05;00:00;23.59;Arnulf;999;31;1030;;;;;
2012.06.06;00:00;23.59;Arnulf;954;29;983;;;;;
2012.06.07;00:00;23.59;Arnulf;921;31;952;;;;;
2012.06.08;00:00;23.59;Arnulf;579;25;604;;;;;
2012.06.09;00:00;23.59;Arnulf;533;12;545;;;;;
2012.06.10;00:00;23.59;Arnulf;330;20;350;;;;;
2012.06.11;00:00;23.59;Arnulf;1019;34;1053;;;;;
2012.06.12;00:00;23.59;Arnulf;809;41;850;;;;;
2012.06.13;00:00;23.59;Arnulf;355;16;371;;;;;
2012.06.14;00:00;23.59;Arnulf;1083;24;1107;;;;;
2012.06.15;00:00;23.59;Arnulf;1527;39;1566;;;;;
2012.06.16;00:00;23.59;Arnulf;1205;32;1237;;;;;
2012.06.17;00:00;23.59;Arnulf;1244;32;1276;;;;;
2012.06.18;00:00;23.59;Arnulf;1508;43;1551;;;;;
2012.06.19;00:00;23.59;Arnulf;1555;22;1577;;;;;
2012.06.20;00:00;23.59;Arnulf;1049;36;1085;;;;;
2012.06.21;00:00;23.59;Arnulf;949;32;981;;;;;
2012.06.22;00:00;23.59;Arnulf;1053;38;1091;;;;;
2012.06.23;00:00;23.59;Arnulf;934;15;949;;;;;
2012.06.24;00:00;23.59;Arnulf;705;15;720;;;;;
2012.06.25;00:00;23.59;Arnulf;582;21;603;;;;;
2012.06.26;00:00;23.59;Arnulf;1523;53;1576;;;;;
2012.06.27;00:00;23.59;Arnulf;1700;51;1751;;;;;
2012.06.28;00:00;23.59;Arnulf;1901;39;1940;;;;;
2012.06.29;00:00;23.59;Arnulf;1251;28;1279;;;;;
2012.06.30;00:00;23.59;Arnulf;1150;21;1171;;;;;
2012.06.01;00:00;23.59;Kreuther;247;188;435;;;;;
2012.06.02;00:00;23.59;Kreuther;308;276;584;;;;;
2012.06.03;00:00;23.59;Kreuther;164;152;316;;;;;
2012.06.04;00:00;23.59;Kreuther;156;132;288;;;;;
2012.06.05;00:00;23.59;Kreuther;281;220;501;;;;;
2012.06.06;00:00;23.59;Kreuther;266;197;463;;;;;
2012.06.07;00:00;23.59;Kreuther;348;254;602;;;;;
2012.06.08;00:00;23.59;Kreuther;201;150;351;;;;;
2012.06.09;00:00;23.59;Kreuther;145;113;258;;;;;
2012.06.10;00:00;23.59;Kreuther;111;97;208;;;;;
2012.06.11;00:00;23.59;Kreuther;332;245;577;;;;;
2012.06.12;00:00;23.59;Kreuther;269;189;458;;;;;
2012.06.13;00:00;23.59;Kreuther;241;197;438;;;;;
2012.06.14;00:00;23.59;Kreuther;475;347;822;;;;;
2012.06.15;00:00;23.59;Kreuther;541;430;971;;;;;
2012.06.16;00:00;23.59;Kreuther;444;367;811;;;;;
2012.06.17;00:00;23.59;Kreuther;447;352;799;;;;;
2012.06.18;00:00;23.59;Kreuther;630;478;1108;;;;;
2012.06.19;00:00;23.59;Kreuther;524;374;898;;;;;
2012.06.20;00:00;23.59;Kreuther;442;281;723;;;;;
2012.06.21;00:00;23.59;Kreuther;538;399;937;;;;;
2012.06.22;00:00;23.59;Kreuther;495;388;883;;;;;
2012.06.23;00:00;23.59;Kreuther;375;277;652;;;;;
2012.06.24;00:00;23.59;Kreuther;402;326;728;;;;;
2012.06.25;00:00;23.59;Kreuther;222;155;377;;;;;
2012.06.26;00:00;23.59;Kreuther;560;423;983;;;;;
2012.06.27;00:00;23.59;Kreuther;598;473;1071;;;;;
2012.06.28;00:00;23.59;Kreuther;621;485;1106;;;;;
2012.06.29;00:00;23.59;Kreuther;444;326;770;;;;;
2012.06.30;00:00;23.59;Kreuther;386;313;699;;;;;
2012.06.01;00:00;23.59;Olympia;650;522;1172;;;;;
2012.06.02;00:00;23.59;Olympia;1140;1076;2216;;;;;
2012.06.03;00:00;23.59;Olympia;644;590;1234;;;;;
2012.06.04;00:00;23.59;Olympia;565;573;1138;;;;;
2012.06.05;00:00;23.59;Olympia;996;774;1770;;;;;
2012.06.06;00:00;23.59;Olympia;830;588;1418;;;;;
2012.06.07;00:00;23.59;Olympia;1199;1048;2247;;;;;
2012.06.08;00:00;23.59;Olympia;491;611;1102;;;;;
2012.06.09;00:00;23.59;Olympia;902;14107;15009;;;;;
2012.06.10;00:00;23.59;Olympia;522;5470;5992;;;;;
2012.06.11;00:00;23.59;Olympia;975;1003;1978;;;;;
2012.06.12;00:00;23.59;Olympia;682;652;1334;;;;;
2012.06.13;00:00;23.59;Olympia;940;915;1855;;;;;
2012.06.14;00:00;23.59;Olympia;1378;1427;2805;;;;;
2012.06.15;00:00;23.59;Olympia;1404;1421;2825;;;;;
2012.06.16;00:00;23.59;Olympia;1246;1161;2407;;;;;
2012.06.17;00:00;23.59;Olympia;1518;1692;3210;;;;;
2012.06.18;00:00;23.59;Olympia;1685;1683;3368;;;;;
2012.06.19;00:00;23.59;Olympia;1509;1528;3037;;;;;
2012.06.20;00:00;23.59;Olympia;986;989;1975;;;;;
2012.06.21;00:00;23.59;Olympia;1507;1376;2883;;;;;
2012.06.22;00:00;23.59;Olympia;1666;1633;3299;;;;;
2012.06.23;00:00;23.59;Olympia;1193;1104;2297;;;;;
2012.06.24;00:00;23.59;Olympia;1544;1417;2961;;;;;
2012.06.25;00:00;23.59;Olympia;823;885;1708;;;;;
2012.06.26;00:00;23.59;Olympia;1673;1698;3371;;;;;
2012.06.27;00:00;23.59;Olympia;1661;1628;3289;;;;;
2012.06.28;00:00;23.59;Olympia;2528;2259;4787;;;;;
2012.06.29;00:00;23.59;Olympia;1467;1465;2932;;;;;
2012.06.30;00:00;23.59;Olympia;1457;1432;2889;;;;;
