datum;uhrzeit_start;uhrzeit_ende;zaehlstelle;richtung_1;richtung_2;gesamt;min-temp;max-temp;niederschlag;bewoelkung;sonnenstunden
2012.11.01;00:00;23.59;Arnulf;340;17;357;;;;;
2012.11.02;00:00;23.59;Arnulf;692;34;726;;;;;
2012.11.03;00:00;23.59;Arnulf;540;16;556;;;;;
2012.11.04;00:00;23.59;Arnulf;423;22;445;;;;;
2012.11.05;00:00;23.59;Arnulf;697;29;726;;;;;
2012.11.06;00:00;23.59;Arnulf;671;26;697;;;;;
2012.11.07;00:00;23.59;Arnulf;728;25;753;;;;;
2012.11.08;00:00;23.59;Arnulf;884;42;926;;;;;
2012.11.09;00:00;23.59;Arnulf;936;47;983;;;;;
2012.11.10;00:00;23.59;Arnulf;555;15;570;;;;;
2012.11.11;00:00;23.59;Arnulf;201;9;210;;;;;
2012.11.12;00:00;23.59;Arnulf;731;42;773;;;;;
2012.11.13;00:00;23.59;Arnulf;880;48;928;;;;;
2012.11.14;00:00;23.59;Arnulf;888;39;927;;;;;
2012.11.15;00:00;23.59;Arnulf;1034;39;1073;;;;;
2012.11.16;00:00;23.59;Arnulf;850;30;880;;;;;
2012.11.17;00:00;23.59;Arnulf;474;11;485;;;;;
2012.11.18;00:00;23.59;Arnulf;329;20;349;;;;;
2012.11.19;00:00;23.59;Arnulf;684;34;718;;;;;
2012.11.20;00:00;23.59;Arnulf;792;42;834;;;;;
2012.11.21;00:00;23.59;Arnulf;776;35;811;;;;;
2012.11.22;00:00;23.59;Arnulf;750;40;790;;;;;
2012.11.23;00:00;23.59;Arnulf;748;39;787;;;;;
2012.11.24;00:00;23.59;Arnulf;450;25;475;;;;;
2012.11.25;00:00;23.59;Arnulf;399;20;419;;;;;
2012.11.26;00:00;23.59;Arnulf;862;34;896;;;;;
2012.11.27;00:00;23.59;Arnulf;801;35;836;;;;;
2012.11.28;00:00;23.59;Arnulf;703;35;738;;;;;
2012.11.29;00:00;23.59;Arnulf;354;11;365;;;;;
2012.11.30;00:00;23.59;Arnulf;538;25;563;;;;;
