datum;uhrzeit_start;uhrzeit_ende;zaehlstelle;richtung_1;richtung_2;gesamt;min-temp;max-temp;niederschlag;bewoelkung;sonnenstunden
2012.04.01;00:00;23.59;Arnulf;449;22;471;;;;;
2012.04.02;00:00;23.59;Arnulf;1020;39;1059;;;;;
2012.04.03;00:00;23.59;Arnulf;780;28;808;;;;;
2012.04.04;00:00;23.59;Arnulf;999;45;1044;;;;;
2012.04.05;00:00;23.59;Arnulf;564;16;580;;;;;
2012.04.06;00:00;23.59;Arnulf;113;14;127;;;;;
2012.04.07;00:00;23.59;Arnulf;220;6;226;;;;;
2012.04.08;00:00;23.59;Arnulf;127;5;132;;;;;
2012.04.09;00:00;23.59;Arnulf;275;13;288;;;;;
2012.04.10;00:00;23.59;Arnulf;887;34;921;;;;;
2012.04.11;00:00;23.59;Arnulf;522;26;548;;;;;
2012.04.12;00:00;23.59;Arnulf;834;33;867;;;;;
2012.04.13;00:00;23.59;Arnulf;540;23;563;;;;;
2012.04.14;00:00;23.59;Arnulf;411;11;422;;;;;
2012.04.15;00:00;23.59;Arnulf;160;12;172;;;;;
2012.04.16;00:00;23.59;Arnulf;358;11;369;;;;;
2012.04.17;00:00;23.59;Arnulf;904;32;936;;;;;
2012.04.18;00:00;23.59;Arnulf;745;20;765;;;;;
2012.04.19;00:00;23.59;Arnulf;1003;34;1037;;;;;
2012.04.20;00:00;23.59;Arnulf;689;33;722;;;;;
2012.04.21;00:00;23.59;Arnulf;747;28;775;;;;;
2012.04.22;00:00;23.59;Arnulf;246;19;265;;;;;
2012.04.23;00:00;23.59;Arnulf;1037;31;1068;;;;;
2012.04.24;00:00;23.59;Arnulf;631;28;659;;;;;
2012.04.25;00:00;23.59;Arnulf;1309;43;1352;;;;;
2012.04.26;00:00;23.59;Arnulf;1504;50;1554;;;;;
2012.04.27;00:00;23.59;Arnulf;1585;56;1641;;;;;
2012.04.28;00:00;23.59;Arnulf;1332;42;1374;;;;;
2012.04.29;00:00;23.59;Arnulf;840;26;866;;;;;
2012.04.30;00:00;23.59;Arnulf;1620;42;1662;;;;;
2012.04.01;00:00;23.59;Kreuther;197;160;357;;;;;
2012.04.02;00:00;23.59;Kreuther;315;216;531;;;;;
2012.04.03;00:00;23.59;Kreuther;254;183;437;;;;;
2012.04.04;00:00;23.59;Kreuther;348;246;594;;;;;
2012.04.05;00:00;23.59;Kreuther;181;125;306;;;;;
2012.04.06;00:00;23.59;Kreuther;35;35;70;;;;;
2012.04.07;00:00;23.59;Kreuther;72;61;133;;;;;
2012.04.08;00:00;23.59;Kreuther;38;29;67;;;;;
2012.04.09;00:00;23.59;Kreuther;88;73;161;;;;;
2012.04.10;00:00;23.59;Kreuther;338;244;582;;;;;
2012.04.11;00:00;23.59;Kreuther;178;118;296;;;;;
2012.04.12;00:00;23.59;Kreuther;295;231;526;;;;;
2012.04.13;00:00;23.59;Kreuther;165;139;304;;;;;
2012.04.14;00:00;23.59;Kreuther;108;93;201;;;;;
2012.04.15;00:00;23.59;Kreuther;40;32;72;;;;;
2012.04.16;00:00;23.59;Kreuther;133;92;225;;;;;
2012.04.17;00:00;23.59;Kreuther;306;225;531;;;;;
2012.04.18;00:00;23.59;Kreuther;284;189;473;;;;;
2012.04.19;00:00;23.59;Kreuther;330;251;581;;;;;
2012.04.20;00:00;23.59;Kreuther;219;149;368;;;;;
2012.04.21;00:00;23.59;Kreuther;292;227;519;;;;;
2012.04.22;00:00;23.59;Kreuther;88;62;150;;;;;
2012.04.23;00:00;23.59;Kreuther;353;264;617;;;;;
2012.04.24;00:00;23.59;Kreuther;212;135;347;;;;;
2012.04.25;00:00;23.59;Kreuther;453;338;791;;;;;
2012.04.26;00:00;23.59;Kreuther;518;409;927;;;;;
2012.04.27;00:00;23.59;Kreuther;547;411;958;;;;;
2012.04.28;00:00;23.59;Kreuther;423;336;759;;;;;
2012.04.29;00:00;23.59;Kreuther;325;314;639;;;;;
2012.04.30;00:00;23.59;Kreuther;502;399;901;;;;;
2012.04.01;00:00;23.59;Olympia;741;734;1475;;;;;
2012.04.02;00:00;23.59;Olympia;859;817;1676;;;;;
2012.04.03;00:00;23.59;Olympia;675;691;1366;;;;;
2012.04.04;00:00;23.59;Olympia;829;853;1682;;;;;
2012.04.05;00:00;23.59;Olympia;364;363;727;;;;;
2012.04.06;00:00;23.59;Olympia;166;155;321;;;;;
2012.04.07;00:00;23.59;Olympia;150;137;287;;;;;
2012.04.08;00:00;23.59;Olympia;195;199;394;;;;;
2012.04.09;00:00;23.59;Olympia;354;306;660;;;;;
2012.04.10;00:00;23.59;Olympia;765;786;1551;;;;;
2012.04.11;00:00;23.59;Olympia;436;458;894;;;;;
2012.04.12;00:00;23.59;Olympia;715;781;1496;;;;;
2012.04.13;00:00;23.59;Olympia;464;513;977;;;;;
2012.04.14;00:00;23.59;Olympia;457;420;877;;;;;
2012.04.15;00:00;23.59;Olympia;828;210;1038;;;;;
2012.04.16;00:00;23.59;Olympia;441;436;877;;;;;
2012.04.17;00:00;23.59;Olympia;914;898;1812;;;;;
2012.04.18;00:00;23.59;Olympia;786;769;1555;;;;;
2012.04.19;00:00;23.59;Olympia;1061;1043;2104;;;;;
2012.04.20;00:00;23.59;Olympia;542;556;1098;;;;;
2012.04.21;00:00;23.59;Olympia;843;762;1605;;;;;
2012.04.22;00:00;23.59;Olympia;334;355;689;;;;;
2012.04.23;00:00;23.59;Olympia;1061;1057;2118;;;;;
2012.04.24;00:00;23.59;Olympia;701;696;1397;;;;;
2012.04.25;00:00;23.59;Olympia;1271;1332;2603;;;;;
2012.04.26;00:00;23.59;Olympia;1531;1547;3078;;;;;
2012.04.27;00:00;23.59;Olympia;1375;1330;2705;;;;;
2012.04.28;00:00;23.59;Olympia;1271;1181;2452;;;;;
2012.04.29;00:00;23.59;Olympia;1127;1195;2322;;;;;
2012.04.30;00:00;23.59;Olympia;1217;1283;2500;;;;;
2012.04.01;00:00;23.59;Hirsch;224;242;466;;;;;
2012.04.02;00:00;23.59;Hirsch;347;342;689;;;;;
2012.04.03;00:00;23.59;Hirsch;264;255;519;;;;;
2012.04.04;00:00;23.59;Hirsch;298;316;614;;;;;
2012.04.05;00:00;23.59;Hirsch;175;190;365;;;;;
2012.04.06;00:00;23.59;Hirsch;37;40;77;;;;;
2012.04.07;00:00;23.59;Hirsch;57;59;116;;;;;
2012.04.08;00:00;23.59;Hirsch;28;28;56;;;;;
2012.04.09;00:00;23.59;Hirsch;79;94;173;;;;;
2012.04.10;00:00;23.59;Hirsch;337;349;686;;;;;
2012.04.11;00:00;23.59;Hirsch;166;187;353;;;;;
2012.04.12;00:00;23.59;Hirsch;264;257;521;;;;;
2012.04.13;00:00;23.59;Hirsch;174;188;362;;;;;
2012.04.14;00:00;23.59;Hirsch;108;106;214;;;;;
2012.04.15;00:00;23.59;Hirsch;47;44;91;;;;;
2012.04.16;00:00;23.59;Hirsch;117;113;230;;;;;
2012.04.17;00:00;23.59;Hirsch;293;303;596;;;;;
2012.04.18;00:00;23.59;Hirsch;279;273;552;;;;;
2012.04.19;00:00;23.59;Hirsch;330;347;677;;;;;
2012.04.20;00:00;23.59;Hirsch;180;198;378;;;;;
2012.04.21;00:00;23.59;Hirsch;246;292;538;;;;;
2012.04.22;00:00;23.59;Hirsch;91;80;171;;;;;
2012.04.23;00:00;23.59;Hirsch;345;342;687;;;;;
2012.04.24;00:00;23.59;Hirsch;218;220;438;;;;;
2012.04.25;00:00;23.59;Hirsch;411;429;840;;;;;
2012.04.26;00:00;23.59;Hirsch;486;497;983;;;;;
2012.04.27;00:00;23.59;Hirsch;485;527;1012;;;;;
2012.04.28;00:00;23.59;Hirsch;275;320;595;;;;;
2012.04.29;00:00;23.59;Hirsch;284;299;583;;;;;
2012.04.30;00:00;23.59;Hirsch;381;437;818;;;;;
2012.04.01;00:00;23.59;Margareten;947;852;1799;;;;;
2012.04.02;00:00;23.59;Margareten;1530;1450;2980;;;;;
2012.04.03;00:00;23.59;Margareten;1294;1206;2500;;;;;
2012.04.04;00:00;23.59;Margareten;1506;1423;2929;;;;;
2012.04.05;00:00;23.59;Margareten;894;870;1764;;;;;
2012.04.06;00:00;23.59;Margareten;183;193;376;;;;;
2012.04.07;00:00;23.59;Margareten;474;437;911;;;;;
2012.04.08;00:00;23.59;Margareten;194;193;387;;;;;
2012.04.09;00:00;23.59;Margareten;380;349;729;;;;;
2012.04.10;00:00;23.59;Margareten;1446;1407;2853;;;;;
2012.04.11;00:00;23.59;Margareten;802;775;1577;;;;;
2012.04.12;00:00;23.59;Margareten;1260;1195;2455;;;;;
2012.04.13;00:00;23.59;Margareten;826;788;1614;;;;;
2012.04.14;00:00;23.59;Margareten;689;716;1405;;;;;
2012.04.15;00:00;23.59;Margareten;306;286;592;;;;;
2012.04.16;00:00;23.59;Margareten;629;591;1220;;;;;
2012.04.17;00:00;23.59;Margareten;1492;1496;2988;;;;;
2012.04.18;00:00;23.59;Margareten;1317;1248;2565;;;;;
2012.04.19;00:00;23.59;Margareten;1726;1670;3396;;;;;
2012.04.20;00:00;23.59;Margareten;1105;1084;2189;;;;;
2012.04.21;00:00;23.59;Margareten;1479;1439;2918;;;;;
2012.04.22;00:00;23.59;Margareten;529;465;994;;;;;
2012.04.23;00:00;23.59;Margareten;1669;1706;3375;;;;;
2012.04.24;00:00;23.59;Margareten;1064;1098;2162;;;;;
2012.04.25;00:00;23.59;Margareten;2069;2071;4140;;;;;
2012.04.26;00:00;23.59;Margareten;2361;2244;4605;;;;;
2012.04.27;00:00;23.59;Margareten;2306;2303;4609;;;;;
2012.04.28;00:00;23.59;Margareten;2058;1918;3976;;;;;
2012.04.29;00:00;23.59;Margareten;1283;1109;2392;;;;;
2012.04.30;00:00;23.59;Margareten;2357;2296;4653;;;;;
2012.04.01;00:00;23.59;Erhardt;1610;1550;3160;;;;;
2012.04.02;00:00;23.59;Erhardt;1657;1767;3424;;;;;
2012.04.03;00:00;23.59;Erhardt;1406;1513;2919;;;;;
2012.04.04;00:00;23.59;Erhardt;1610;1811;3421;;;;;
2012.04.05;00:00;23.59;Erhardt;928;949;1877;;;;;
2012.04.06;00:00;23.59;Erhardt;214;212;426;;;;;
2012.04.07;00:00;23.59;Erhardt;288;316;604;;;;;
2012.04.08;00:00;23.59;Erhardt;237;259;496;;;;;
2012.04.09;00:00;23.59;Erhardt;608;610;1218;;;;;
2012.04.10;00:00;23.59;Erhardt;1626;1579;3205;;;;;
2012.04.11;00:00;23.59;Erhardt;854;978;1832;;;;;
2012.04.12;00:00;23.59;Erhardt;1468;1572;3040;;;;;
2012.04.13;00:00;23.59;Erhardt;863;873;1736;;;;;
2012.04.14;00:00;23.59;Erhardt;712;782;1494;;;;;
2012.04.15;00:00;23.59;Erhardt;380;402;782;;;;;
2012.04.16;00:00;23.59;Erhardt;646;688;1334;;;;;
2012.04.17;00:00;23.59;Erhardt;1551;1734;3285;;;;;
2012.04.18;00:00;23.59;Erhardt;1343;1447;2790;;;;;
2012.04.19;00:00;23.59;Erhardt;1851;1992;3843;;;;;
2012.04.20;00:00;23.59;Erhardt;1048;1185;2233;;;;;
2012.04.21;00:00;23.59;Erhardt;1458;1463;2921;;;;;
2012.04.22;00:00;23.59;Erhardt;624;636;1260;;;;;
